SHARCII_350micron
frq          wvl          transmission
[GHz]        [micron]                 
7.03125e+02  4.26368e+02  -9.33756e-04
7.10449e+02  4.21973e+02  1.22012e-04
7.17773e+02  4.17667e+02  -1.55059e-03
7.25098e+02  4.13447e+02  8.36330e-04
7.32422e+02  4.09313e+02  6.86969e-05
7.39746e+02  4.05261e+02  1.07315e-03
7.47070e+02  4.01288e+02  3.31994e-03
7.54395e+02  3.97391e+02  8.13889e-03
7.61719e+02  3.93570e+02  1.66397e-02
7.69043e+02  3.89822e+02  3.55625e-02
7.76367e+02  3.86145e+02  7.80371e-02
7.83691e+02  3.82536e+02  1.87320e-01
7.91016e+02  3.78994e+02  3.90643e-01
7.98340e+02  3.75517e+02  5.75772e-01
8.05664e+02  3.72103e+02  7.03628e-01
8.12988e+02  3.68751e+02  7.81411e-01
8.20312e+02  3.65459e+02  8.27906e-01
8.27637e+02  3.62224e+02  8.13402e-01
8.34961e+02  3.59047e+02  8.30006e-01
8.42285e+02  3.55925e+02  7.43939e-01
8.49609e+02  3.52856e+02  7.35407e-01
8.56934e+02  3.49840e+02  7.11820e-01
8.64258e+02  3.46876e+02  6.61250e-01
8.71582e+02  3.43961e+02  6.32089e-01
8.78906e+02  3.41094e+02  5.94407e-01
8.86230e+02  3.38276e+02  5.46786e-01
8.93555e+02  3.35503e+02  5.25617e-01
9.00879e+02  3.32775e+02  4.32550e-01
9.08203e+02  3.30091e+02  3.05101e-01
9.15527e+02  3.27451e+02  2.00463e-01
9.22852e+02  3.24852e+02  1.31156e-01
9.30176e+02  3.22294e+02  8.87566e-02
9.37500e+02  3.19776e+02  4.84069e-02
9.44824e+02  3.17297e+02  3.01993e-02
9.52148e+02  3.14856e+02  1.85868e-02
9.59473e+02  3.12453e+02  1.44288e-02
9.66797e+02  3.10086e+02  9.40378e-03
9.74121e+02  3.07754e+02  7.67953e-03
9.81445e+02  3.05458e+02  4.98698e-03
9.88770e+02  3.03195e+02  6.30655e-03
9.96094e+02  3.00966e+02  3.74062e-03
1.00342e+03  2.98769e+02  3.89982e-03
1.01074e+03  2.96604e+02  3.94239e-03
1.01807e+03  2.94470e+02  3.16884e-03
1.02539e+03  2.92366e+02  3.01044e-03
1.03271e+03  2.90293e+02  3.07648e-03
1.04004e+03  2.88249e+02  1.91269e-03
1.04736e+03  2.86233e+02  1.70951e-03
1.05469e+03  2.84245e+02  1.41921e-03
1.06201e+03  2.82285e+02  1.15798e-03
1.06934e+03  2.80351e+02  1.02038e-03
1.07666e+03  2.78444e+02  7.23339e-04
1.08398e+03  2.76563e+02  6.99081e-04
1.09131e+03  2.74707e+02  6.70968e-04
