SMA_880micron
frq          wvl          transmission
[GHz]        [micron]                 
3.38032e+02  8.86876e+02  0.00000e+00
3.38042e+02  8.86850e+02  0.00000e+00
3.38052e+02  8.86824e+02  0.00000e+00
3.38062e+02  8.86797e+02  0.00000e+00
3.38071e+02  8.86774e+02  0.00000e+00
3.38081e+02  8.86747e+02  0.00000e+00
3.38091e+02  8.86721e+02  0.00000e+00
3.38101e+02  8.86695e+02  0.00000e+00
3.38111e+02  8.86669e+02  0.00000e+00
3.38121e+02  8.86643e+02  0.00000e+00
3.38130e+02  8.86619e+02  0.00000e+00
3.38140e+02  8.86593e+02  0.00000e+00
3.38150e+02  8.86566e+02  0.00000e+00
3.38160e+02  8.86540e+02  0.00000e+00
3.38170e+02  8.86514e+02  0.00000e+00
3.38180e+02  8.86488e+02  0.00000e+00
3.38189e+02  8.86464e+02  0.00000e+00
3.38199e+02  8.86438e+02  0.00000e+00
3.38209e+02  8.86412e+02  0.00000e+00
3.38219e+02  8.86386e+02  0.00000e+00
3.38229e+02  8.86359e+02  0.00000e+00
3.38239e+02  8.86333e+02  0.00000e+00
3.38248e+02  8.86310e+02  0.00000e+00
3.38258e+02  8.86283e+02  0.00000e+00
3.38268e+02  8.86257e+02  0.00000e+00
3.38278e+02  8.86231e+02  0.00000e+00
3.38288e+02  8.86205e+02  0.00000e+00
3.38298e+02  8.86179e+02  0.00000e+00
3.38308e+02  8.86152e+02  0.00000e+00
3.38317e+02  8.86129e+02  0.00000e+00
3.38327e+02  8.86103e+02  0.00000e+00
3.38337e+02  8.86076e+02  0.00000e+00
3.38347e+02  8.86050e+02  0.00000e+00
3.38357e+02  8.86024e+02  0.00000e+00
3.38367e+02  8.85998e+02  0.00000e+00
3.38376e+02  8.85974e+02  0.00000e+00
3.38386e+02  8.85948e+02  0.00000e+00
3.38396e+02  8.85922e+02  0.00000e+00
3.38406e+02  8.85896e+02  0.00000e+00
3.38416e+02  8.85870e+02  0.00000e+00
3.38426e+02  8.85843e+02  0.00000e+00
3.38435e+02  8.85820e+02  0.00000e+00
3.38445e+02  8.85794e+02  0.00000e+00
3.38455e+02  8.85768e+02  0.00000e+00
3.38465e+02  8.85741e+02  0.00000e+00
