SPIRE_350micron
frq          wvl          transmission
[GHz]        [micron]                 
5.92990e+02  5.05561e+02  0.00000e+00
5.95987e+02  5.03018e+02  0.00000e+00
5.98985e+02  5.00501e+02  0.00000e+00
6.01983e+02  4.98008e+02  0.00000e+00
6.04981e+02  4.95540e+02  0.00000e+00
6.07679e+02  4.93340e+02  0.00000e+00
6.10677e+02  4.90918e+02  0.00000e+00
6.13675e+02  4.88520e+02  0.00000e+00
6.16673e+02  4.86145e+02  0.00000e+00
6.19671e+02  4.83793e+02  0.00000e+00
6.22369e+02  4.81696e+02  0.00000e+00
6.25367e+02  4.79386e+02  0.00000e+00
6.28365e+02  4.77099e+02  0.00000e+00
6.31363e+02  4.74834e+02  0.00000e+00
6.34061e+02  4.72813e+02  1.56600e-04
6.37059e+02  4.70588e+02  1.78800e-04
6.40057e+02  4.68384e+02  1.96800e-04
6.43055e+02  4.66200e+02  2.14600e-04
6.46053e+02  4.64037e+02  2.25600e-04
6.48751e+02  4.62107e+02  2.40300e-04
6.51749e+02  4.59981e+02  2.51300e-04
6.54747e+02  4.57875e+02  2.56100e-04
6.57745e+02  4.55788e+02  2.65100e-04
6.60743e+02  4.53720e+02  2.83200e-04
6.63441e+02  4.51875e+02  3.18700e-04
6.66439e+02  4.49842e+02  3.66000e-04
6.69437e+02  4.47828e+02  4.35400e-04
6.72435e+02  4.45831e+02  5.00700e-04
6.75133e+02  4.44049e+02  5.78300e-04
6.78131e+02  4.42086e+02  6.58900e-04
6.81128e+02  4.40141e+02  7.31600e-04
6.84126e+02  4.38212e+02  8.34400e-04
6.87124e+02  4.36300e+02  1.00600e-03
6.89822e+02  4.34594e+02  1.24400e-03
6.92820e+02  4.32713e+02  1.54000e-03
6.95818e+02  4.30849e+02  1.98700e-03
6.98816e+02  4.29001e+02  2.54200e-03
7.01814e+02  4.27168e+02  3.21900e-03
7.04512e+02  4.25532e+02  4.24400e-03
7.07510e+02  4.23729e+02  5.96000e-03
7.10508e+02  4.21941e+02  8.43300e-03
7.13506e+02  4.20168e+02  1.28300e-02
7.16204e+02  4.18585e+02  2.18300e-02
7.19202e+02  4.16840e+02  4.66800e-02
7.22200e+02  4.15110e+02  9.56300e-02
7.25198e+02  4.13394e+02  1.15500e-01
7.28196e+02  4.11692e+02  1.39900e-01
7.30894e+02  4.10172e+02  1.62400e-01
7.33892e+02  4.08497e+02  1.85900e-01
7.36890e+02  4.06835e+02  2.13800e-01
7.39888e+02  4.05186e+02  2.56800e-01
7.42586e+02  4.03714e+02  2.90700e-01
7.45584e+02  4.02091e+02  3.41300e-01
7.48582e+02  4.00480e+02  3.87000e-01
7.51580e+02  3.98883e+02  4.42900e-01
7.54578e+02  3.97298e+02  4.77000e-01
7.57276e+02  3.95883e+02  5.19100e-01
7.60274e+02  3.94322e+02  5.37300e-01
7.63272e+02  3.92773e+02  5.54100e-01
7.66270e+02  3.91236e+02  5.52600e-01
7.69267e+02  3.89712e+02  5.60800e-01
7.71966e+02  3.88349e+02  5.67000e-01
7.74964e+02  3.86847e+02  5.82300e-01
7.77961e+02  3.85357e+02  5.96500e-01
7.80959e+02  3.83877e+02  6.09700e-01
7.83657e+02  3.82556e+02  5.97700e-01
7.86655e+02  3.81098e+02  5.97600e-01
7.89653e+02  3.79651e+02  6.00100e-01
7.92651e+02  3.78215e+02  6.02000e-01
7.95649e+02  3.76790e+02  6.04600e-01
7.98347e+02  3.75516e+02  6.10500e-01
8.01345e+02  3.74112e+02  6.20700e-01
8.04343e+02  3.72717e+02  6.29000e-01
8.07341e+02  3.71333e+02  6.19400e-01
8.10339e+02  3.69959e+02  6.11700e-01
8.13037e+02  3.68732e+02  6.04300e-01
8.16035e+02  3.67377e+02  6.00900e-01
8.19033e+02  3.66032e+02  5.82000e-01
8.22031e+02  3.64697e+02  5.77600e-01
8.24729e+02  3.63504e+02  5.66300e-01
8.27727e+02  3.62188e+02  5.67200e-01
8.30725e+02  3.60881e+02  5.73100e-01
8.33723e+02  3.59583e+02  5.88800e-01
8.36721e+02  3.58294e+02  6.20400e-01
8.39419e+02  3.57143e+02  6.31700e-01
8.42417e+02  3.55872e+02  6.26000e-01
8.45415e+02  3.54610e+02  6.22000e-01
8.48413e+02  3.53357e+02  5.91300e-01
8.51411e+02  3.52113e+02  5.60500e-01
8.54109e+02  3.51000e+02  5.37600e-01
8.57107e+02  3.49772e+02  5.34200e-01
8.60105e+02  3.48553e+02  5.47000e-01
8.63102e+02  3.47343e+02  5.49500e-01
8.65801e+02  3.46260e+02  5.67800e-01
8.68799e+02  3.45065e+02  5.78300e-01
8.71796e+02  3.43879e+02  5.74300e-01
8.74794e+02  3.42701e+02  5.58600e-01
8.77792e+02  3.41530e+02  5.54800e-01
8.80490e+02  3.40484e+02  5.54000e-01
8.83488e+02  3.39328e+02  5.54900e-01
8.86486e+02  3.38181e+02  5.62700e-01
8.89484e+02  3.37041e+02  5.64400e-01
8.92482e+02  3.35909e+02  5.64200e-01
8.95180e+02  3.34896e+02  5.61500e-01
8.98178e+02  3.33778e+02  5.55200e-01
9.01176e+02  3.32668e+02  5.39200e-01
9.04174e+02  3.31565e+02  5.33800e-01
9.06872e+02  3.30579e+02  5.21100e-01
9.09870e+02  3.29489e+02  5.14700e-01
9.12868e+02  3.28407e+02  5.22100e-01
9.15866e+02  3.27332e+02  5.37900e-01
9.18864e+02  3.26264e+02  5.43700e-01
9.21562e+02  3.25309e+02  5.62700e-01
9.24560e+02  3.24254e+02  5.54600e-01
9.27558e+02  3.23206e+02  5.45400e-01
9.30556e+02  3.22165e+02  5.14200e-01
9.33554e+02  3.21130e+02  4.87400e-01
9.36252e+02  3.20205e+02  4.62400e-01
9.39250e+02  3.19183e+02  4.57300e-01
9.42248e+02  3.18167e+02  4.59700e-01
9.45246e+02  3.17158e+02  4.71800e-01
9.47944e+02  3.16255e+02  4.76600e-01
9.50942e+02  3.15258e+02  4.80800e-01
9.53940e+02  3.14268e+02  4.88100e-01
9.56938e+02  3.13283e+02  4.81400e-01
9.59935e+02  3.12305e+02  4.73400e-01
9.62634e+02  3.11429e+02  4.71300e-01
9.65632e+02  3.10462e+02  4.63600e-01
9.68629e+02  3.09502e+02  4.49700e-01
9.71627e+02  3.08547e+02  4.33700e-01
9.74326e+02  3.07692e+02  4.40000e-01
9.77323e+02  3.06749e+02  4.34500e-01
9.80321e+02  3.05811e+02  4.33900e-01
9.83319e+02  3.04878e+02  4.36500e-01
9.86317e+02  3.03951e+02  4.40300e-01
9.89015e+02  3.03122e+02  4.37700e-01
9.92013e+02  3.02206e+02  4.24100e-01
9.95011e+02  3.01296e+02  4.15800e-01
9.98009e+02  3.00391e+02  4.03000e-01
1.00101e+03  2.99490e+02  3.85600e-01
1.00371e+03  2.98684e+02  3.67900e-01
1.00670e+03  2.97797e+02  3.46600e-01
1.00970e+03  2.96912e+02  3.14900e-01
1.01270e+03  2.96033e+02  2.69800e-01
1.01540e+03  2.95246e+02  2.23800e-01
1.01839e+03  2.94379e+02  1.80400e-01
1.02139e+03  2.93514e+02  1.43900e-01
1.02439e+03  2.92655e+02  1.14800e-01
1.02739e+03  2.91800e+02  9.40200e-02
1.03009e+03  2.91035e+02  7.99800e-02
1.03308e+03  2.90193e+02  6.89200e-02
1.03608e+03  2.89353e+02  5.80100e-02
1.03908e+03  2.88517e+02  4.86500e-02
1.04208e+03  2.87687e+02  3.96600e-02
1.04478e+03  2.86943e+02  3.29200e-02
1.04777e+03  2.86124e+02  2.56100e-02
1.05077e+03  2.85307e+02  2.31000e-02
1.05377e+03  2.84495e+02  1.78000e-02
1.05647e+03  2.83768e+02  1.49100e-02
1.05947e+03  2.82965e+02  1.36300e-02
1.06246e+03  2.82168e+02  1.20700e-02
1.06546e+03  2.81374e+02  1.08100e-02
1.06846e+03  2.80584e+02  9.98400e-03
1.07116e+03  2.79876e+02  8.92600e-03
1.07416e+03  2.79095e+02  8.07000e-03
1.07715e+03  2.78320e+02  7.31000e-03
1.08015e+03  2.77547e+02  6.56200e-03
1.08315e+03  2.76778e+02  5.76000e-03
1.08585e+03  2.76090e+02  5.06300e-03
1.08885e+03  2.75329e+02  4.48600e-03
1.09184e+03  2.74575e+02  3.91800e-03
1.09484e+03  2.73823e+02  3.37400e-03
1.09754e+03  2.73149e+02  2.96000e-03
1.10054e+03  2.72405e+02  2.60100e-03
1.10354e+03  2.71664e+02  2.26200e-03
1.10653e+03  2.70930e+02  1.96500e-03
1.10953e+03  2.70198e+02  1.68200e-03
1.11223e+03  2.69542e+02  1.37100e-03
1.11523e+03  2.68817e+02  1.10600e-03
1.11823e+03  2.68096e+02  8.97200e-04
1.12122e+03  2.67381e+02  7.11600e-04
1.12422e+03  2.66667e+02  5.74700e-04
1.12692e+03  2.66028e+02  4.69100e-04
1.12992e+03  2.65322e+02  3.82500e-04
1.13292e+03  2.64619e+02  3.03800e-04
1.13591e+03  2.63923e+02  2.54000e-04
1.13861e+03  2.63297e+02  2.05300e-04
1.14161e+03  2.62605e+02  1.72200e-04
1.14461e+03  2.61917e+02  1.46100e-04
1.14761e+03  2.61232e+02  1.21400e-04
1.15060e+03  2.60553e+02  1.00400e-04
1.15330e+03  2.59943e+02  9.10500e-05
1.15630e+03  2.59269e+02  7.66500e-05
1.15930e+03  2.58598e+02  7.32900e-05
1.16230e+03  2.57930e+02  6.89500e-05
1.16499e+03  2.57335e+02  5.64500e-05
1.16799e+03  2.56674e+02  4.15000e-05
1.17099e+03  2.56016e+02  3.97000e-05
1.17399e+03  2.55362e+02  3.76600e-05
1.17699e+03  2.54711e+02  3.07500e-05
1.17968e+03  2.54130e+02  2.80500e-05
1.18268e+03  2.53486e+02  2.12200e-05
1.18568e+03  2.52844e+02  1.21600e-05
1.18868e+03  2.52206e+02  1.49400e-05
1.19168e+03  2.51571e+02  1.19300e-05
1.19437e+03  2.51005e+02  1.01600e-05
1.19737e+03  2.50376e+02  1.24200e-05
1.20037e+03  2.49750e+02  1.43000e-05
1.20337e+03  2.49127e+02  1.25900e-05
1.20607e+03  2.48570e+02  1.03700e-05
1.20906e+03  2.47955e+02  1.44300e-05
1.21206e+03  2.47341e+02  1.40500e-05
1.21506e+03  2.46731e+02  7.65500e-06
1.21806e+03  2.46123e+02  8.45400e-06
1.22075e+03  2.45581e+02  9.83500e-06
1.22375e+03  2.44979e+02  1.25900e-05
1.22675e+03  2.44379e+02  8.39100e-06
1.22975e+03  2.43783e+02  9.20500e-06
1.23275e+03  2.43190e+02  7.58700e-06
1.23544e+03  2.42660e+02  8.10200e-06
1.23844e+03  2.42073e+02  1.04300e-05
1.24144e+03  2.41488e+02  1.14500e-05
1.24444e+03  2.40906e+02  1.23700e-05
1.24714e+03  2.40384e+02  8.59700e-06
1.25013e+03  2.39809e+02  1.05200e-05
1.25313e+03  2.39235e+02  7.54700e-06
1.25613e+03  2.38664e+02  8.48000e-06
1.25913e+03  2.38095e+02  7.15800e-06
1.26183e+03  2.37585e+02  9.28100e-06
1.26482e+03  2.37024e+02  7.47100e-06
1.26782e+03  2.36463e+02  4.57900e-06
1.27082e+03  2.35905e+02  4.45100e-06
1.27382e+03  2.35349e+02  4.64100e-06
1.27652e+03  2.34851e+02  2.24800e-06
1.27951e+03  2.34303e+02  -2.96200e-06
1.28251e+03  2.33754e+02  1.35800e-07
1.28551e+03  2.33209e+02  1.03200e-06
1.28821e+03  2.32720e+02  1.32300e-06
1.29121e+03  2.32179e+02  3.60200e-06
1.29420e+03  2.31643e+02  4.10600e-06
1.29720e+03  2.31107e+02  4.30500e-06
1.30020e+03  2.30574e+02  5.82700e-06
1.30290e+03  2.30096e+02  4.96300e-06
1.30590e+03  2.29568e+02  4.53000e-06
1.30889e+03  2.29043e+02  4.69200e-06
1.31189e+03  2.28520e+02  3.00500e-06
1.31489e+03  2.27998e+02  5.28700e-06
1.31759e+03  2.27531e+02  4.46200e-06
1.32059e+03  2.27014e+02  9.00700e-06
1.32358e+03  2.26501e+02  6.75800e-06
1.32658e+03  2.25989e+02  7.48100e-06
1.32928e+03  2.25530e+02  8.34100e-06
1.33228e+03  2.25022e+02  4.60800e-06
1.33528e+03  2.24517e+02  5.28400e-06
1.33827e+03  2.24015e+02  6.18900e-06
1.34127e+03  2.23514e+02  5.09000e-06
1.34397e+03  2.23065e+02  3.11600e-06
1.34697e+03  2.22568e+02  3.99800e-06
1.34997e+03  2.22073e+02  3.53400e-06
1.35296e+03  2.21583e+02  2.88600e-06
1.35596e+03  2.21092e+02  3.48000e-06
1.35866e+03  2.20653e+02  3.82900e-06
1.36166e+03  2.20167e+02  4.36600e-06
1.36466e+03  2.19683e+02  6.18200e-06
1.36765e+03  2.19203e+02  4.83200e-06
1.37035e+03  2.18771e+02  3.62600e-06
1.37335e+03  2.18293e+02  4.34500e-06
1.37635e+03  2.17817e+02  1.59100e-06
1.37935e+03  2.17343e+02  2.26100e-06
1.38234e+03  2.16873e+02  3.19900e-06
1.38504e+03  2.16450e+02  1.62400e-06
1.38804e+03  2.15983e+02  1.85500e-06
1.39104e+03  2.15517e+02  1.89900e-06
1.39403e+03  2.15055e+02  3.53900e-06
1.39673e+03  2.14639e+02  2.75900e-06
1.39973e+03  2.14179e+02  1.98000e-06
1.40273e+03  2.13721e+02  1.45400e-06
1.40573e+03  2.13265e+02  3.48200e-06
1.40872e+03  2.12812e+02  2.39300e-06
