SPT_3300micron
frq          wvl          transmission
[GHz]        [micron]                 
1.30345e-01  2.30000e+03  6.12957e-03
1.30244e-01  2.30177e+03  5.95746e-03
1.30144e-01  2.30354e+03  5.75554e-03
1.30044e-01  2.30532e+03  5.52727e-03
1.29943e-01  2.30710e+03  5.27622e-03
1.29843e-01  2.30888e+03  5.00584e-03
1.29743e-01  2.31066e+03  4.71968e-03
1.29643e-01  2.31245e+03  4.42132e-03
1.29542e-01  2.31424e+03  4.11417e-03
1.29442e-01  2.31603e+03  3.80185e-03
1.29342e-01  2.31783e+03  3.48778e-03
1.29242e-01  2.31963e+03  3.17553e-03
1.29141e-01  2.32143e+03  2.86866e-03
1.29041e-01  2.32323e+03  2.57059e-03
1.28941e-01  2.32504e+03  2.28494e-03
1.28841e-01  2.32685e+03  2.01513e-03
1.28740e-01  2.32866e+03  1.76472e-03
1.28640e-01  2.33048e+03  1.53728e-03
1.28540e-01  2.33229e+03  1.33624e-03
1.28440e-01  2.33411e+03  1.16519e-03
1.28339e-01  2.33594e+03  1.02759e-03
1.28239e-01  2.33776e+03  9.26989e-04
1.28139e-01  2.33959e+03  8.66901e-04
1.28038e-01  2.34143e+03  8.50841e-04
1.27938e-01  2.34326e+03  8.82325e-04
1.27838e-01  2.34510e+03  9.64650e-04
1.27738e-01  2.34694e+03  1.09604e-03
1.27637e-01  2.34878e+03  1.26980e-03
1.27537e-01  2.35063e+03  1.47907e-03
1.27437e-01  2.35248e+03  1.71691e-03
1.27337e-01  2.35433e+03  1.97649e-03
1.27236e-01  2.35619e+03  2.25086e-03
1.27136e-01  2.35804e+03  2.53315e-03
1.27036e-01  2.35991e+03  2.81650e-03
1.26936e-01  2.36177e+03  3.09395e-03
1.26835e-01  2.36364e+03  3.35869e-03
1.26735e-01  2.36551e+03  3.60376e-03
1.26635e-01  2.36738e+03  3.82230e-03
1.26534e-01  2.36926e+03  4.00744e-03
1.26434e-01  2.37113e+03  4.15223e-03
1.26334e-01  2.37302e+03  4.17586e-03
1.26234e-01  2.37490e+03  4.07790e-03
1.26133e-01  2.37679e+03  3.93823e-03
1.26033e-01  2.37868e+03  3.76470e-03
1.25933e-01  2.38057e+03  3.56521e-03
1.25833e-01  2.38247e+03  3.34756e-03
1.25732e-01  2.38437e+03  3.11967e-03
1.25632e-01  2.38627e+03  2.88937e-03
1.25532e-01  2.38818e+03  2.66451e-03
1.25432e-01  2.39009e+03  2.45301e-03
1.25331e-01  2.39200e+03  2.26266e-03
1.25231e-01  2.39392e+03  2.10136e-03
1.25131e-01  2.39583e+03  1.97697e-03
1.25030e-01  2.39775e+03  1.89734e-03
1.24930e-01  2.39968e+03  1.87035e-03
1.24830e-01  2.40161e+03  1.96938e-03
1.24730e-01  2.40354e+03  2.19472e-03
1.24629e-01  2.40547e+03  2.47256e-03
1.24529e-01  2.40741e+03  2.79516e-03
1.24429e-01  2.40935e+03  3.15470e-03
1.24329e-01  2.41129e+03  3.54353e-03
1.24228e-01  2.41324e+03  3.95381e-03
1.24128e-01  2.41519e+03  4.37783e-03
1.24028e-01  2.41714e+03  4.80785e-03
1.23928e-01  2.41909e+03  5.23604e-03
1.23827e-01  2.42105e+03  5.65476e-03
1.23727e-01  2.42301e+03  6.05617e-03
1.23627e-01  2.42498e+03  6.43255e-03
1.23527e-01  2.42695e+03  6.77618e-03
1.23426e-01  2.42892e+03  7.07921e-03
1.23326e-01  2.43089e+03  7.25429e-03
1.23226e-01  2.43287e+03  7.29845e-03
1.23125e-01  2.43485e+03  7.30174e-03
1.23025e-01  2.43684e+03  7.27205e-03
1.22925e-01  2.43883e+03  7.21728e-03
1.22825e-01  2.44082e+03  7.14532e-03
1.22724e-01  2.44281e+03  7.06407e-03
1.22624e-01  2.44481e+03  6.98143e-03
1.22524e-01  2.44681e+03  6.90529e-03
1.22424e-01  2.44881e+03  6.84355e-03
1.22323e-01  2.45082e+03  6.80411e-03
1.22223e-01  2.45283e+03  6.79486e-03
1.22123e-01  2.45484e+03  6.82370e-03
1.22023e-01  2.45686e+03  6.89853e-03
1.21922e-01  2.45888e+03  7.02723e-03
1.21822e-01  2.46091e+03  7.25448e-03
1.21722e-01  2.46293e+03  7.57635e-03
1.21621e-01  2.46496e+03  7.94696e-03
1.21521e-01  2.46700e+03  8.36199e-03
1.21421e-01  2.46903e+03  8.81697e-03
1.21321e-01  2.47107e+03  9.30769e-03
1.21220e-01  2.47312e+03  9.82966e-03
1.21120e-01  2.47517e+03  1.03786e-02
1.21020e-01  2.47722e+03  1.09501e-02
1.20920e-01  2.47927e+03  1.15397e-02
1.20819e-01  2.48133e+03  1.21433e-02
1.20719e-01  2.48339e+03  1.27564e-02
1.20619e-01  2.48545e+03  1.33745e-02
1.20519e-01  2.48752e+03  1.39935e-02
1.20418e-01  2.48959e+03  1.46088e-02
1.20318e-01  2.49167e+03  1.45730e-02
1.20218e-01  2.49374e+03  1.37000e-02
1.20118e-01  2.49583e+03  1.27068e-02
1.20017e-01  2.49791e+03  1.16741e-02
1.19917e-01  2.50000e+03  1.06833e-02
1.19817e-01  2.50209e+03  9.81482e-03
1.19716e-01  2.50419e+03  9.14989e-03
1.19616e-01  2.50629e+03  8.76933e-03
1.19516e-01  2.50839e+03  8.75407e-03
1.19416e-01  2.51050e+03  9.18496e-03
1.19315e-01  2.51261e+03  1.01431e-02
1.19215e-01  2.51472e+03  1.17092e-02
1.19115e-01  2.51684e+03  1.39643e-02
1.19015e-01  2.51896e+03  1.69894e-02
1.18914e-01  2.52108e+03  2.08649e-02
1.18814e-01  2.52321e+03  2.59684e-02
1.18714e-01  2.52534e+03  3.23379e-02
1.18614e-01  2.52747e+03  3.95653e-02
1.18513e-01  2.52961e+03  4.75683e-02
1.18413e-01  2.53175e+03  5.62623e-02
1.18313e-01  2.53390e+03  6.55671e-02
1.18212e-01  2.53605e+03  7.53978e-02
1.18112e-01  2.53820e+03  8.56725e-02
1.18012e-01  2.54036e+03  9.63090e-02
1.17912e-01  2.54252e+03  1.07222e-01
1.17811e-01  2.54468e+03  1.18332e-01
1.17711e-01  2.54685e+03  1.29554e-01
1.17611e-01  2.54902e+03  1.40806e-01
1.17511e-01  2.55119e+03  1.52006e-01
1.17410e-01  2.55337e+03  1.63069e-01
1.17310e-01  2.55556e+03  1.72624e-01
1.17210e-01  2.55774e+03  1.80457e-01
1.17110e-01  2.55993e+03  1.88118e-01
1.17009e-01  2.56213e+03  1.95711e-01
1.16909e-01  2.56432e+03  2.03337e-01
1.16809e-01  2.56652e+03  2.11100e-01
1.16709e-01  2.56873e+03  2.19102e-01
1.16608e-01  2.57094e+03  2.27445e-01
1.16508e-01  2.57315e+03  2.36233e-01
1.16408e-01  2.57537e+03  2.45567e-01
1.16307e-01  2.57759e+03  2.55552e-01
1.16207e-01  2.57981e+03  2.66288e-01
1.16107e-01  2.58204e+03  2.77878e-01
1.16007e-01  2.58427e+03  2.90427e-01
1.15906e-01  2.58651e+03  3.04034e-01
1.15806e-01  2.58874e+03  3.20580e-01
1.15706e-01  2.59099e+03  3.40696e-01
1.15606e-01  2.59324e+03  3.62178e-01
1.15505e-01  2.59549e+03  3.84731e-01
1.15405e-01  2.59774e+03  4.08054e-01
1.15305e-01  2.60000e+03  4.31856e-01
1.15205e-01  2.60226e+03  4.55836e-01
1.15104e-01  2.60453e+03  4.79698e-01
1.15004e-01  2.60680e+03  5.03147e-01
1.14904e-01  2.60907e+03  5.25882e-01
1.14803e-01  2.61135e+03  5.47612e-01
1.14703e-01  2.61364e+03  5.68035e-01
1.14603e-01  2.61592e+03  5.86857e-01
1.14503e-01  2.61821e+03  6.03782e-01
1.14402e-01  2.62051e+03  6.18508e-01
1.14302e-01  2.62281e+03  6.28566e-01
1.14202e-01  2.62511e+03  6.33478e-01
1.14102e-01  2.62742e+03  6.36139e-01
1.14001e-01  2.62973e+03  6.36866e-01
1.13901e-01  2.63204e+03  6.35973e-01
1.13801e-01  2.63436e+03  6.33777e-01
1.13701e-01  2.63668e+03  6.30593e-01
1.13600e-01  2.63901e+03  6.26737e-01
1.13500e-01  2.64134e+03  6.22524e-01
1.13400e-01  2.64368e+03  6.18272e-01
1.13299e-01  2.64602e+03  6.14293e-01
1.13199e-01  2.64836e+03  6.10905e-01
1.13099e-01  2.65071e+03  6.08424e-01
1.12999e-01  2.65306e+03  6.07164e-01
1.12898e-01  2.65542e+03  6.07442e-01
1.12798e-01  2.65778e+03  6.12772e-01
1.12698e-01  2.66014e+03  6.23924e-01
1.12598e-01  2.66251e+03  6.36680e-01
1.12497e-01  2.66488e+03  6.50702e-01
1.12397e-01  2.66726e+03  6.65650e-01
1.12297e-01  2.66964e+03  6.81190e-01
1.12197e-01  2.67203e+03  6.96981e-01
1.12096e-01  2.67442e+03  7.12686e-01
1.11996e-01  2.67681e+03  7.27969e-01
1.11896e-01  2.67921e+03  7.42489e-01
1.11796e-01  2.68161e+03  7.55911e-01
1.11695e-01  2.68402e+03  7.67895e-01
1.11595e-01  2.68643e+03  7.78104e-01
1.11495e-01  2.68885e+03  7.86201e-01
1.11394e-01  2.69127e+03  7.91846e-01
1.11294e-01  2.69369e+03  7.90866e-01
1.11194e-01  2.69612e+03  7.81888e-01
1.11094e-01  2.69856e+03  7.70080e-01
1.10993e-01  2.70099e+03  7.56000e-01
1.10893e-01  2.70344e+03  7.40205e-01
1.10793e-01  2.70588e+03  7.23250e-01
1.10693e-01  2.70833e+03  7.05694e-01
1.10592e-01  2.71079e+03  6.88094e-01
1.10492e-01  2.71325e+03  6.71004e-01
1.10392e-01  2.71571e+03  6.54986e-01
1.10292e-01  2.71818e+03  6.40592e-01
1.10191e-01  2.72066e+03  6.28382e-01
1.10091e-01  2.72313e+03  6.18912e-01
1.09991e-01  2.72562e+03  6.12738e-01
1.09890e-01  2.72810e+03  6.10419e-01
1.09790e-01  2.73059e+03  6.17703e-01
1.09690e-01  2.73309e+03  6.36416e-01
1.09590e-01  2.73559e+03  6.59332e-01
1.09489e-01  2.73810e+03  6.85717e-01
1.09389e-01  2.74060e+03  7.14828e-01
1.09289e-01  2.74312e+03  7.45938e-01
1.09189e-01  2.74564e+03  7.78306e-01
1.09088e-01  2.74816e+03  8.11195e-01
1.08988e-01  2.75069e+03  8.43875e-01
1.08888e-01  2.75322e+03  8.75602e-01
1.08788e-01  2.75576e+03  9.05648e-01
1.08687e-01  2.75830e+03  9.33273e-01
1.08587e-01  2.76085e+03  9.57740e-01
1.08487e-01  2.76340e+03  9.78318e-01
1.08387e-01  2.76596e+03  9.94265e-01
1.08286e-01  2.76852e+03  1.00000e+00
1.08186e-01  2.77108e+03  9.94125e-01
1.08086e-01  2.77365e+03  9.83712e-01
1.07985e-01  2.77623e+03  9.69374e-01
1.07885e-01  2.77881e+03  9.51732e-01
1.07785e-01  2.78140e+03  9.31392e-01
1.07685e-01  2.78399e+03  9.08977e-01
1.07584e-01  2.78658e+03  8.85098e-01
1.07484e-01  2.78918e+03  8.60370e-01
1.07384e-01  2.79178e+03  8.35411e-01
1.07284e-01  2.79439e+03  8.10830e-01
1.07183e-01  2.79701e+03  7.87247e-01
