SUBARU_B
frq          wvl          transmission
[GHz]        [micron]                 
8.51635e+05  3.52020e-01  0.00000e+00
8.49246e+05  3.53010e-01  1.10000e-05
8.46871e+05  3.54000e-01  2.80000e-05
8.44510e+05  3.54990e-01  4.40000e-05
8.42161e+05  3.55980e-01  7.60000e-05
8.39825e+05  3.56970e-01  1.27000e-04
8.37503e+05  3.57960e-01  2.26000e-04
8.35193e+05  3.58950e-01  4.26000e-04
8.32896e+05  3.59940e-01  7.60000e-04
8.30611e+05  3.60930e-01  1.27800e-03
8.28339e+05  3.61920e-01  2.02300e-03
8.26079e+05  3.62910e-01  3.03100e-03
8.23832e+05  3.63900e-01  4.31700e-03
8.21597e+05  3.64890e-01  5.88900e-03
8.19374e+05  3.65880e-01  7.75600e-03
8.17163e+05  3.66870e-01  9.94700e-03
8.14963e+05  3.67860e-01  1.25320e-02
8.12776e+05  3.68850e-01  1.56290e-02
8.10600e+05  3.69840e-01  1.93860e-02
8.08436e+05  3.70830e-01  2.38420e-02
8.06284e+05  3.71820e-01  2.89620e-02
8.04164e+05  3.72800e-01  3.46430e-02
8.02034e+05  3.73790e-01  4.06780e-02
7.99916e+05  3.74780e-01  4.68070e-02
7.97808e+05  3.75770e-01  5.29010e-02
7.95712e+05  3.76760e-01  5.88160e-02
7.93627e+05  3.77750e-01  6.44700e-02
7.91552e+05  3.78740e-01  7.00010e-02
7.89488e+05  3.79730e-01  7.55450e-02
7.87436e+05  3.80720e-01  8.14590e-02
7.85393e+05  3.81710e-01  8.79720e-02
7.83362e+05  3.82700e-01  9.50940e-02
7.81340e+05  3.83690e-01  1.02807e-01
7.79329e+05  3.84680e-01  1.11064e-01
7.77329e+05  3.85670e-01  1.19509e-01
7.75339e+05  3.86660e-01  1.27939e-01
7.73359e+05  3.87650e-01  1.36357e-01
7.71389e+05  3.88640e-01  1.44663e-01
7.69429e+05  3.89630e-01  1.52934e-01
7.67479e+05  3.90620e-01  1.60671e-01
7.65538e+05  3.91610e-01  1.67922e-01
7.63608e+05  3.92600e-01  1.75018e-01
7.61687e+05  3.93590e-01  1.81948e-01
7.59776e+05  3.94580e-01  1.88701e-01
7.57875e+05  3.95570e-01  1.95246e-01
7.55983e+05  3.96560e-01  2.01469e-01
7.54100e+05  3.97550e-01  2.07450e-01
7.52227e+05  3.98540e-01  2.13417e-01
7.50363e+05  3.99530e-01  2.19389e-01
7.48508e+05  4.00520e-01  2.24975e-01
7.46662e+05  4.01510e-01  2.30070e-01
7.44826e+05  4.02500e-01  2.34982e-01
7.42998e+05  4.03490e-01  2.39764e-01
7.41180e+05  4.04480e-01  2.44593e-01
7.39370e+05  4.05470e-01  2.49730e-01
7.37569e+05  4.06460e-01  2.55285e-01
7.35777e+05  4.07450e-01  2.61222e-01
7.33994e+05  4.08440e-01  2.67372e-01
