SUBARU_HSC_NB921
frq          wvl          transmission
[GHz]        [micron]                 
3.33103e+05  9.00000e-01  1.20000e-03
3.33084e+05  9.00050e-01  1.10000e-03
3.33066e+05  9.00100e-01  1.00000e-03
3.33047e+05  9.00150e-01  1.00000e-03
3.33029e+05  9.00200e-01  1.10000e-03
3.33010e+05  9.00250e-01  1.40000e-03
3.32992e+05  9.00300e-01  1.70000e-03
3.32973e+05  9.00350e-01  2.10000e-03
3.32955e+05  9.00400e-01  2.50000e-03
3.32936e+05  9.00450e-01  2.90000e-03
3.32918e+05  9.00500e-01  3.40000e-03
3.32899e+05  9.00550e-01  2.30000e-03
3.32881e+05  9.00600e-01  1.30000e-03
3.32862e+05  9.00650e-01  3.00000e-04
3.32844e+05  9.00700e-01  2.00000e-04
3.32825e+05  9.00750e-01  3.00000e-04
3.32807e+05  9.00800e-01  4.00000e-04
3.32788e+05  9.00850e-01  9.00000e-04
3.32770e+05  9.00900e-01  1.40000e-03
3.32751e+05  9.00950e-01  2.10000e-03
3.32733e+05  9.01000e-01  2.90000e-03
3.32715e+05  9.01050e-01  2.10000e-03
3.32696e+05  9.01100e-01  1.40000e-03
3.32678e+05  9.01150e-01  8.00000e-04
3.32659e+05  9.01200e-01  3.00000e-04
3.32641e+05  9.01250e-01  1.00000e-04
3.32622e+05  9.01300e-01  1.00000e-04
3.32604e+05  9.01350e-01  4.00000e-04
3.32585e+05  9.01400e-01  1.20000e-03
3.32567e+05  9.01450e-01  2.00000e-03
3.32548e+05  9.01500e-01  2.80000e-03
3.32530e+05  9.01550e-01  2.10000e-03
3.32512e+05  9.01600e-01  1.40000e-03
3.32493e+05  9.01650e-01  8.00000e-04
3.32475e+05  9.01700e-01  4.00000e-04
3.32456e+05  9.01750e-01  6.00000e-04
3.32438e+05  9.01800e-01  3.00000e-04
3.32419e+05  9.01850e-01  9.00000e-04
3.32401e+05  9.01900e-01  1.70000e-03
3.32383e+05  9.01950e-01  2.60000e-03
3.32364e+05  9.02000e-01  3.50000e-03
3.32346e+05  9.02050e-01  2.50000e-03
3.32327e+05  9.02100e-01  1.50000e-03
3.32309e+05  9.02150e-01  9.00000e-04
3.32290e+05  9.02200e-01  1.00000e-03
3.32272e+05  9.02250e-01  1.60000e-03
3.32254e+05  9.02300e-01  1.60000e-03
3.32235e+05  9.02350e-01  1.60000e-03
3.32217e+05  9.02400e-01  1.80000e-03
3.32198e+05  9.02450e-01  2.00000e-03
3.32180e+05  9.02500e-01  2.40000e-03
3.32162e+05  9.02550e-01  1.80000e-03
3.32143e+05  9.02600e-01  1.10000e-03
3.32125e+05  9.02650e-01  6.00000e-04
3.32106e+05  9.02700e-01  2.00000e-04
3.32088e+05  9.02750e-01  1.00000e-04
3.32070e+05  9.02800e-01  4.00000e-04
3.32051e+05  9.02850e-01  1.00000e-03
3.32033e+05  9.02900e-01  1.70000e-03
3.32014e+05  9.02950e-01  2.40000e-03
3.31996e+05  9.03000e-01  3.10000e-03
3.31978e+05  9.03050e-01  2.60000e-03
3.31959e+05  9.03100e-01  2.10000e-03
3.31941e+05  9.03150e-01  1.70000e-03
3.31923e+05  9.03200e-01  1.90000e-03
3.31904e+05  9.03250e-01  2.30000e-03
3.31886e+05  9.03300e-01  2.20000e-03
3.31867e+05  9.03350e-01  2.20000e-03
3.31849e+05  9.03400e-01  2.20000e-03
3.31831e+05  9.03450e-01  2.30000e-03
3.31812e+05  9.03500e-01  2.50000e-03
3.31794e+05  9.03550e-01  2.00000e-03
3.31776e+05  9.03600e-01  1.60000e-03
3.31757e+05  9.03650e-01  1.50000e-03
3.31739e+05  9.03700e-01  1.40000e-03
3.31721e+05  9.03750e-01  1.50000e-03
3.31702e+05  9.03800e-01  1.20000e-03
3.31684e+05  9.03850e-01  1.20000e-03
3.31666e+05  9.03900e-01  1.60000e-03
3.31647e+05  9.03950e-01  2.30000e-03
3.31629e+05  9.04000e-01  2.90000e-03
3.31610e+05  9.04050e-01  2.80000e-03
3.31592e+05  9.04100e-01  2.70000e-03
3.31574e+05  9.04150e-01  2.60000e-03
3.31555e+05  9.04200e-01  2.80000e-03
3.31537e+05  9.04250e-01  3.10000e-03
3.31519e+05  9.04300e-01  2.20000e-03
3.31500e+05  9.04350e-01  1.50000e-03
3.31482e+05  9.04400e-01  1.10000e-03
3.31464e+05  9.04450e-01  9.00000e-04
3.31446e+05  9.04500e-01  9.00000e-04
3.31427e+05  9.04550e-01  9.00000e-04
3.31409e+05  9.04600e-01  9.00000e-04
3.31391e+05  9.04650e-01  1.20000e-03
3.31372e+05  9.04700e-01  1.70000e-03
3.31354e+05  9.04750e-01  2.90000e-03
3.31336e+05  9.04800e-01  2.70000e-03
3.31317e+05  9.04850e-01  2.80000e-03
3.31299e+05  9.04900e-01  3.10000e-03
3.31281e+05  9.04950e-01  3.30000e-03
3.31262e+05  9.05000e-01  3.60000e-03
3.31244e+05  9.05050e-01  3.00000e-03
3.31226e+05  9.05100e-01  2.50000e-03
3.31207e+05  9.05150e-01  2.20000e-03
3.31189e+05  9.05200e-01  2.10000e-03
3.31171e+05  9.05250e-01  2.20000e-03
3.31153e+05  9.05300e-01  2.00000e-03
3.31134e+05  9.05350e-01  1.90000e-03
3.31116e+05  9.05400e-01  1.70000e-03
3.31098e+05  9.05450e-01  1.60000e-03
3.31079e+05  9.05500e-01  1.60000e-03
3.31061e+05  9.05550e-01  1.60000e-03
3.31043e+05  9.05600e-01  1.60000e-03
3.31025e+05  9.05650e-01  1.60000e-03
3.31006e+05  9.05700e-01  1.70000e-03
