SUBARU_NB973
frq          wvl          transmission
[GHz]        [micron]                 
3.18915e+05  9.40040e-01  -4.00000e-04
3.18762e+05  9.40490e-01  -2.00000e-04
3.18610e+05  9.40940e-01  3.00000e-04
3.18454e+05  9.41400e-01  4.00000e-04
3.18302e+05  9.41850e-01  -1.00000e-04
3.18150e+05  9.42300e-01  -4.00000e-04
3.17998e+05  9.42750e-01  -0.00000e+00
3.17846e+05  9.43200e-01  1.10000e-03
3.17695e+05  9.43650e-01  2.40000e-03
3.17540e+05  9.44110e-01  2.40000e-03
3.17388e+05  9.44560e-01  1.20000e-03
3.17237e+05  9.45010e-01  0.00000e+00
3.17086e+05  9.45460e-01  -6.00000e-04
3.16935e+05  9.45910e-01  -7.00000e-04
3.16781e+05  9.46370e-01  -3.00000e-04
3.16631e+05  9.46820e-01  6.00000e-04
3.16480e+05  9.47270e-01  1.80000e-03
3.16330e+05  9.47720e-01  2.90000e-03
3.16180e+05  9.48170e-01  3.70000e-03
3.16030e+05  9.48620e-01  3.30000e-03
3.15877e+05  9.49080e-01  2.40000e-03
3.15727e+05  9.49530e-01  2.40000e-03
3.15578e+05  9.49980e-01  3.70000e-03
3.15428e+05  9.50430e-01  5.00000e-03
3.15276e+05  9.50890e-01  5.20000e-03
3.15127e+05  9.51340e-01  4.60000e-03
3.14978e+05  9.51790e-01  4.30000e-03
3.14829e+05  9.52240e-01  4.60000e-03
3.14680e+05  9.52690e-01  4.80000e-03
3.14528e+05  9.53150e-01  5.00000e-03
3.14380e+05  9.53600e-01  6.10000e-03
3.14231e+05  9.54050e-01  7.90000e-03
3.14083e+05  9.54500e-01  9.20000e-03
3.13935e+05  9.54950e-01  1.00000e-02
3.13784e+05  9.55410e-01  1.08000e-02
3.13636e+05  9.55860e-01  1.22000e-02
3.13489e+05  9.56310e-01  1.51000e-02
3.13341e+05  9.56760e-01  1.87000e-02
3.13191e+05  9.57220e-01  2.22000e-02
3.13044e+05  9.57670e-01  2.59000e-02
3.12897e+05  9.58120e-01  3.07000e-02
3.12750e+05  9.58570e-01  3.74000e-02
3.12600e+05  9.59030e-01  4.66000e-02
3.12453e+05  9.59480e-01  5.84000e-02
3.12307e+05  9.59930e-01  7.28000e-02
3.12160e+05  9.60380e-01  9.04000e-02
3.12014e+05  9.60830e-01  1.12200e-01
3.11865e+05  9.61290e-01  1.38100e-01
3.11719e+05  9.61740e-01  1.67500e-01
3.11573e+05  9.62190e-01  2.01100e-01
3.11427e+05  9.62640e-01  2.39400e-01
3.11279e+05  9.63100e-01  2.81700e-01
3.11133e+05  9.63550e-01  3.26900e-01
3.10988e+05  9.64000e-01  3.74500e-01
3.10840e+05  9.64460e-01  4.24100e-01
3.10695e+05  9.64910e-01  4.75500e-01
3.10550e+05  9.65360e-01  5.27300e-01
3.10405e+05  9.65810e-01  5.77900e-01
3.10257e+05  9.66270e-01  6.25500e-01
3.10113e+05  9.66720e-01  6.69200e-01
3.09969e+05  9.67170e-01  7.08600e-01
