SUBARU_HSC_y
frq          wvl          transmission
[GHz]        [micron]                 
3.33103e+05  9.00000e-01  0.00000e+00
3.32364e+05  9.02000e-01  3.40000e-03
3.31629e+05  9.04000e-01  2.90000e-04
3.30897e+05  9.06000e-01  3.16000e-03
3.30168e+05  9.08000e-01  1.55000e-03
3.29442e+05  9.10000e-01  5.25000e-03
3.28720e+05  9.12000e-01  4.16000e-03
3.28001e+05  9.14000e-01  7.89000e-03
3.27284e+05  9.16000e-01  1.21200e-02
3.26571e+05  9.18000e-01  1.46800e-02
3.25861e+05  9.20000e-01  2.66900e-02
3.25155e+05  9.22000e-01  3.75800e-02
3.24451e+05  9.24000e-01  5.45400e-02
3.23750e+05  9.26000e-01  8.68200e-02
3.23052e+05  9.28000e-01  1.15950e-01
3.22357e+05  9.30000e-01  1.45420e-01
3.21666e+05  9.32000e-01  1.79900e-01
3.20977e+05  9.34000e-01  2.06400e-01
3.20291e+05  9.36000e-01  2.44050e-01
3.19608e+05  9.38000e-01  2.93430e-01
3.18928e+05  9.40000e-01  3.35300e-01
3.18251e+05  9.42000e-01  3.68700e-01
3.17577e+05  9.44000e-01  3.72450e-01
3.16905e+05  9.46000e-01  3.70840e-01
3.16237e+05  9.48000e-01  3.80800e-01
3.15571e+05  9.50000e-01  3.89190e-01
3.14908e+05  9.52000e-01  3.81840e-01
3.14248e+05  9.54000e-01  3.72570e-01
3.13590e+05  9.56000e-01  3.82730e-01
3.12936e+05  9.58000e-01  3.89670e-01
3.12284e+05  9.60000e-01  4.00960e-01
3.11635e+05  9.62000e-01  4.11040e-01
3.10988e+05  9.64000e-01  4.17370e-01
3.10344e+05  9.66000e-01  4.25310e-01
3.09703e+05  9.68000e-01  4.32350e-01
3.09064e+05  9.70000e-01  4.39090e-01
3.08428e+05  9.72000e-01  4.24510e-01
3.07795e+05  9.74000e-01  4.11750e-01
3.07164e+05  9.76000e-01  4.08450e-01
3.06536e+05  9.78000e-01  4.06600e-01
3.05911e+05  9.80000e-01  4.03870e-01
3.05288e+05  9.82000e-01  3.97900e-01
3.04667e+05  9.84000e-01  3.94200e-01
3.04049e+05  9.86000e-01  3.88850e-01
3.03434e+05  9.88000e-01  3.78920e-01
3.02821e+05  9.90000e-01  3.68910e-01
3.02210e+05  9.92000e-01  3.57450e-01
3.01602e+05  9.94000e-01  3.46010e-01
3.00996e+05  9.96000e-01  3.35300e-01
3.00393e+05  9.98000e-01  3.23410e-01
2.99792e+05  1.00000e+00  3.13090e-01
2.99194e+05  1.00200e+00  2.98460e-01
2.98598e+05  1.00400e+00  2.83780e-01
2.98004e+05  1.00600e+00  2.69390e-01
2.97413e+05  1.00800e+00  2.55390e-01
2.96824e+05  1.01000e+00  2.42600e-01
2.96238e+05  1.01200e+00  2.29670e-01
2.95653e+05  1.01400e+00  2.15650e-01
2.95071e+05  1.01600e+00  2.01440e-01
2.94492e+05  1.01800e+00  1.86820e-01
2.93914e+05  1.02000e+00  1.72510e-01
2.93339e+05  1.02200e+00  1.62870e-01
2.92766e+05  1.02400e+00  1.52690e-01
2.92195e+05  1.02600e+00  1.42790e-01
2.91627e+05  1.02800e+00  1.32710e-01
2.91061e+05  1.03000e+00  1.22470e-01
2.90497e+05  1.03200e+00  1.12280e-01
2.89935e+05  1.03400e+00  1.02030e-01
2.89375e+05  1.03600e+00  9.20400e-02
2.88817e+05  1.03800e+00  8.20600e-02
2.88262e+05  1.04000e+00  7.21400e-02
2.87709e+05  1.04200e+00  6.88700e-02
2.87158e+05  1.04400e+00  6.54100e-02
2.86608e+05  1.04600e+00  6.19200e-02
2.86062e+05  1.04800e+00  5.85400e-02
2.85517e+05  1.05000e+00  5.49600e-02
2.84974e+05  1.05200e+00  5.16100e-02
2.84433e+05  1.05400e+00  4.81300e-02
2.83894e+05  1.05600e+00  4.44200e-02
2.83358e+05  1.05800e+00  4.06900e-02
2.82823e+05  1.06000e+00  3.66600e-02
2.82290e+05  1.06200e+00  3.22800e-02
2.81760e+05  1.06400e+00  2.77100e-02
2.81231e+05  1.06600e+00  2.28400e-02
2.80705e+05  1.06800e+00  1.80000e-02
2.80180e+05  1.07000e+00  1.34700e-02
2.79657e+05  1.07200e+00  9.46000e-03
2.79136e+05  1.07400e+00  6.20000e-03
2.78618e+05  1.07600e+00  3.69000e-03
2.78101e+05  1.07800e+00  1.95000e-03
2.77586e+05  1.08000e+00  8.10000e-04
2.77073e+05  1.08200e+00  0.00000e+00
