SUBARU_MOIRCS_Ks
frq          wvl          transmission
[GHz]        [micron]                 
1.53464e+05  1.95350e+00  4.14500e-03
1.53425e+05  1.95400e+00  4.39600e-03
1.53386e+05  1.95450e+00  4.67400e-03
1.53347e+05  1.95500e+00  5.02300e-03
1.53307e+05  1.95550e+00  5.36000e-03
1.53268e+05  1.95600e+00  5.73300e-03
1.53229e+05  1.95650e+00  6.17800e-03
1.53190e+05  1.95700e+00  6.57400e-03
1.53151e+05  1.95750e+00  7.01400e-03
1.53112e+05  1.95800e+00  7.48700e-03
1.53072e+05  1.95850e+00  8.10900e-03
1.53033e+05  1.95900e+00  8.73300e-03
1.52994e+05  1.95950e+00  9.43000e-03
1.52955e+05  1.96000e+00  1.01640e-02
1.52916e+05  1.96050e+00  1.08590e-02
1.52877e+05  1.96100e+00  1.17310e-02
1.52838e+05  1.96150e+00  1.27340e-02
1.52799e+05  1.96200e+00  1.37030e-02
1.52760e+05  1.96250e+00  1.49610e-02
1.52722e+05  1.96300e+00  1.61740e-02
1.52683e+05  1.96350e+00  1.74920e-02
1.52644e+05  1.96400e+00  1.88230e-02
1.52605e+05  1.96450e+00  2.03650e-02
1.52566e+05  1.96500e+00  2.21150e-02
1.52527e+05  1.96550e+00  2.40670e-02
1.52489e+05  1.96600e+00  2.60330e-02
1.52450e+05  1.96650e+00  2.80760e-02
1.52411e+05  1.96700e+00  3.02820e-02
1.52372e+05  1.96750e+00  3.27780e-02
1.52334e+05  1.96800e+00  3.53410e-02
1.52295e+05  1.96850e+00  3.85780e-02
1.52256e+05  1.96900e+00  4.16570e-02
1.52218e+05  1.96950e+00  4.47970e-02
1.52179e+05  1.97000e+00  4.81060e-02
1.52140e+05  1.97050e+00  5.17790e-02
1.52102e+05  1.97100e+00  5.57410e-02
1.52063e+05  1.97150e+00  5.98890e-02
1.52025e+05  1.97200e+00  6.49040e-02
1.51986e+05  1.97250e+00  6.92150e-02
1.51948e+05  1.97300e+00  7.38390e-02
1.51909e+05  1.97350e+00  7.85100e-02
1.51871e+05  1.97400e+00  8.36260e-02
1.51832e+05  1.97450e+00  8.96970e-02
1.51794e+05  1.97500e+00  9.54250e-02
1.51755e+05  1.97550e+00  1.01529e-01
1.51717e+05  1.97600e+00  1.07470e-01
1.51678e+05  1.97650e+00  1.13536e-01
1.51640e+05  1.97700e+00  1.19838e-01
1.51602e+05  1.97750e+00  1.26649e-01
1.51563e+05  1.97800e+00  1.34934e-01
1.51525e+05  1.97850e+00  1.41768e-01
1.51487e+05  1.97900e+00  1.49301e-01
1.51449e+05  1.97950e+00  1.57174e-01
1.51410e+05  1.98000e+00  1.65072e-01
1.51372e+05  1.98050e+00  1.73479e-01
1.51334e+05  1.98100e+00  1.83216e-01
1.51296e+05  1.98150e+00  1.93223e-01
1.51258e+05  1.98200e+00  2.01788e-01
1.51219e+05  1.98250e+00  2.11669e-01
1.51181e+05  1.98300e+00  2.21776e-01
1.51143e+05  1.98350e+00  2.32697e-01
1.51105e+05  1.98400e+00  2.44892e-01
1.51067e+05  1.98450e+00  2.57315e-01
1.51029e+05  1.98500e+00  2.69335e-01
1.50991e+05  1.98550e+00  2.82226e-01
1.50953e+05  1.98600e+00  2.95332e-01
1.50915e+05  1.98650e+00  3.08923e-01
1.50877e+05  1.98700e+00  3.24031e-01
1.50839e+05  1.98750e+00  3.40889e-01
1.50801e+05  1.98800e+00  3.56902e-01
1.50763e+05  1.98850e+00  3.72960e-01
1.50725e+05  1.98900e+00  3.89406e-01
