SUBARU_V
frq          wvl          transmission
[GHz]        [micron]                 
6.35611e+05  4.71660e-01  0.00000e+00
6.34347e+05  4.72600e-01  1.80000e-05
6.33088e+05  4.73540e-01  5.30000e-05
6.31834e+05  4.74480e-01  1.00000e-04
6.30598e+05  4.75410e-01  1.77000e-04
6.29353e+05  4.76350e-01  3.50000e-04
6.28114e+05  4.77290e-01  7.09000e-04
6.26879e+05  4.78230e-01  1.43500e-03
6.25663e+05  4.79160e-01  2.83400e-03
6.24438e+05  4.80100e-01  5.35300e-03
6.23217e+05  4.81040e-01  9.53900e-03
6.22002e+05  4.81980e-01  1.59650e-02
6.20804e+05  4.82910e-01  2.51330e-02
6.19598e+05  4.83850e-01  3.74440e-02
6.18397e+05  4.84790e-01  5.31210e-02
6.17213e+05  4.85720e-01  7.21050e-02
6.16020e+05  4.86660e-01  9.41250e-02
6.14833e+05  4.87600e-01  1.18826e-01
6.13650e+05  4.88540e-01  1.45658e-01
6.12484e+05  4.89470e-01  1.74127e-01
6.11310e+05  4.90410e-01  2.03829e-01
6.10140e+05  4.91350e-01  2.34158e-01
6.08975e+05  4.92290e-01  2.64412e-01
6.07827e+05  4.93220e-01  2.94041e-01
6.06671e+05  4.94160e-01  3.22668e-01
6.05519e+05  4.95100e-01  3.49780e-01
6.04372e+05  4.96040e-01  3.74989e-01
6.03241e+05  4.96970e-01  3.98145e-01
6.02102e+05  4.97910e-01  4.19234e-01
6.00967e+05  4.98850e-01  4.38151e-01
5.99837e+05  4.99790e-01  4.54922e-01
5.98723e+05  5.00720e-01  4.69886e-01
5.97601e+05  5.01660e-01  4.83325e-01
5.96483e+05  5.02600e-01  4.95656e-01
5.95382e+05  5.03530e-01  5.07363e-01
5.94272e+05  5.04470e-01  5.18246e-01
5.93167e+05  5.05410e-01  5.28356e-01
5.92066e+05  5.06350e-01  5.38260e-01
5.90980e+05  5.07280e-01  5.48123e-01
5.89887e+05  5.08220e-01  5.57771e-01
5.88798e+05  5.09160e-01  5.66935e-01
5.87713e+05  5.10100e-01  5.75783e-01
5.86644e+05  5.11030e-01  5.84019e-01
5.85566e+05  5.11970e-01  5.91826e-01
5.84493e+05  5.12910e-01  5.98704e-01
5.83424e+05  5.13850e-01  6.04653e-01
5.82370e+05  5.14780e-01  6.09751e-01
5.81309e+05  5.15720e-01  6.14442e-01
5.80251e+05  5.16660e-01  6.19038e-01
5.79197e+05  5.17600e-01  6.23684e-01
5.78158e+05  5.18530e-01  6.28642e-01
5.77112e+05  5.19470e-01  6.33858e-01
5.76070e+05  5.20410e-01  6.39481e-01
5.75042e+05  5.21340e-01  6.45499e-01
5.74007e+05  5.22280e-01  6.51686e-01
5.72976e+05  5.23220e-01  6.57909e-01
5.71948e+05  5.24160e-01  6.63827e-01
5.70935e+05  5.25090e-01  6.69500e-01
5.69915e+05  5.26030e-01  6.74985e-01
5.68899e+05  5.26970e-01  6.79935e-01
5.67886e+05  5.27910e-01  6.84158e-01
5.66887e+05  5.28840e-01  6.87769e-01
5.65881e+05  5.29780e-01  6.91090e-01
5.64879e+05  5.30720e-01  6.94167e-01
5.63880e+05  5.31660e-01  6.96758e-01
5.62895e+05  5.32590e-01  6.99172e-01
5.61904e+05  5.33530e-01  7.02015e-01
5.60915e+05  5.34470e-01  7.05145e-01
5.59931e+05  5.35410e-01  7.08026e-01
5.58960e+05  5.36340e-01  7.10508e-01
5.57982e+05  5.37280e-01  7.13181e-01
5.57007e+05  5.38220e-01  7.16015e-01
5.56046e+05  5.39150e-01  7.18558e-01
5.55079e+05  5.40090e-01  7.20620e-01
5.54114e+05  5.41030e-01  7.21640e-01
5.53153e+05  5.41970e-01  7.22848e-01
5.52206e+05  5.42900e-01  7.24232e-01
5.51251e+05  5.43840e-01  7.25854e-01
5.50300e+05  5.44780e-01  7.27733e-01
5.49352e+05  5.45720e-01  7.29781e-01
5.48418e+05  5.46650e-01  7.31934e-01
5.47476e+05  5.47590e-01  7.34123e-01
5.46538e+05  5.48530e-01  7.36316e-01
5.45603e+05  5.49470e-01  7.38437e-01
5.44681e+05  5.50400e-01  7.40643e-01
5.43752e+05  5.51340e-01  7.43095e-01
5.42827e+05  5.52280e-01  7.45178e-01
5.41905e+05  5.53220e-01  7.46752e-01
5.40995e+05  5.54150e-01  7.47840e-01
5.40079e+05  5.55090e-01  7.48308e-01
5.39166e+05  5.56030e-01  7.48040e-01
5.38266e+05  5.56960e-01  7.47041e-01
5.37359e+05  5.57900e-01  7.45733e-01
5.36455e+05  5.58840e-01  7.44451e-01
5.35554e+05  5.59780e-01  7.43179e-01
5.34666e+05  5.60710e-01  7.41772e-01
5.33771e+05  5.61650e-01  7.40877e-01
5.32879e+05  5.62590e-01  7.40825e-01
5.31990e+05  5.63530e-01  7.41764e-01
5.31114e+05  5.64460e-01  7.43573e-01
5.30231e+05  5.65400e-01  7.46178e-01
5.29351e+05  5.66340e-01  7.49663e-01
5.28474e+05  5.67280e-01  7.53891e-01
5.27609e+05  5.68210e-01  7.58430e-01
5.26737e+05  5.69150e-01  7.62704e-01
5.25869e+05  5.70090e-01  7.66538e-01
5.25003e+05  5.71030e-01  7.70504e-01
5.24149e+05  5.71960e-01  7.73643e-01
5.23289e+05  5.72900e-01  7.75700e-01
5.22432e+05  5.73840e-01  7.76463e-01
5.21587e+05  5.74770e-01  7.75898e-01
5.20735e+05  5.75710e-01  7.74293e-01
5.19886e+05  5.76650e-01  7.71743e-01
5.19040e+05  5.77590e-01  7.68517e-01
5.18206e+05  5.78520e-01  7.65149e-01
5.17365e+05  5.79460e-01  7.62299e-01
5.16527e+05  5.80400e-01  7.59690e-01
5.15692e+05  5.81340e-01  7.56716e-01
5.14868e+05  5.82270e-01  7.53383e-01
5.14039e+05  5.83210e-01  7.48816e-01
5.13211e+05  5.84150e-01  7.41786e-01
5.12387e+05  5.85090e-01  7.30818e-01
5.11574e+05  5.86020e-01  7.14319e-01
5.10754e+05  5.86960e-01  6.90926e-01
5.09938e+05  5.87900e-01  6.60438e-01
5.09124e+05  5.88840e-01  6.23405e-01
5.08321e+05  5.89770e-01  5.80696e-01
5.07512e+05  5.90710e-01  5.33634e-01
5.06706e+05  5.91650e-01  4.83918e-01
5.05911e+05  5.92580e-01  4.33428e-01
5.05109e+05  5.93520e-01  3.84043e-01
5.04311e+05  5.94460e-01  3.37216e-01
5.03514e+05  5.95400e-01  2.93954e-01
5.02729e+05  5.96330e-01  2.54799e-01
5.01938e+05  5.97270e-01  2.19961e-01
5.01149e+05  5.98210e-01  1.89289e-01
5.00363e+05  5.99150e-01  1.62520e-01
4.99587e+05  6.00080e-01  1.39321e-01
4.98806e+05  6.01020e-01  1.19300e-01
4.98027e+05  6.01960e-01  1.02002e-01
4.97251e+05  6.02900e-01  8.70400e-02
4.96485e+05  6.03830e-01  7.41430e-02
4.95713e+05  6.04770e-01  6.30480e-02
4.94944e+05  6.05710e-01  5.35310e-02
4.94185e+05  6.06640e-01  4.54040e-02
4.93421e+05  6.07580e-01  3.84510e-02
4.92658e+05  6.08520e-01  3.25230e-02
4.91898e+05  6.09460e-01  2.75390e-02
4.91149e+05  6.10390e-01  2.33310e-02
4.90394e+05  6.11330e-01  1.98010e-02
4.89641e+05  6.12270e-01  1.68490e-02
4.88890e+05  6.13210e-01  1.43740e-02
4.88150e+05  6.14140e-01  1.22930e-02
4.87404e+05  6.15080e-01  1.05740e-02
4.86660e+05  6.16020e-01  9.13100e-03
4.85919e+05  6.16960e-01  7.93300e-03
4.85187e+05  6.17890e-01  6.91100e-03
4.84450e+05  6.18830e-01  6.05700e-03
4.83716e+05  6.19770e-01  5.33900e-03
4.82983e+05  6.20710e-01  4.71600e-03
4.82261e+05  6.21640e-01  4.17800e-03
4.81532e+05  6.22580e-01  3.71700e-03
4.80806e+05  6.23520e-01  3.32400e-03
4.80090e+05  6.24450e-01  2.99100e-03
4.79369e+05  6.25390e-01  2.70900e-03
4.78649e+05  6.26330e-01  2.45300e-03
4.77932e+05  6.27270e-01  2.24000e-03
4.77225e+05  6.28200e-01  2.06100e-03
4.76512e+05  6.29140e-01  1.89900e-03
4.75801e+05  6.30080e-01  1.75400e-03
4.75092e+05  6.31020e-01  1.61900e-03
4.74393e+05  6.31950e-01  1.48400e-03
4.73688e+05  6.32890e-01  1.36600e-03
4.72986e+05  6.33830e-01  1.26500e-03
4.72285e+05  6.34770e-01  1.17200e-03
4.71594e+05  6.35700e-01  1.07900e-03
