SUBARU_iprime
frq          wvl          transmission
[GHz]        [micron]                 
4.52510e+05  6.62510e-01  0.00000e+00
4.51638e+05  6.63790e-01  1.70000e-05
4.50761e+05  6.65080e-01  1.02000e-04
4.49896e+05  6.66360e-01  3.15000e-04
4.49026e+05  6.67650e-01  7.65000e-04
4.48167e+05  6.68930e-01  1.67200e-03
4.47305e+05  6.70220e-01  3.34700e-03
4.46452e+05  6.71500e-01  6.26000e-03
4.45596e+05  6.72790e-01  1.10250e-02
4.44750e+05  6.74070e-01  1.83790e-02
4.43900e+05  6.75360e-01  2.90800e-02
4.43054e+05  6.76650e-01  4.39720e-02
4.42217e+05  6.77930e-01  6.36930e-02
4.41378e+05  6.79220e-01  8.85960e-02
4.40547e+05  6.80500e-01  1.18730e-01
4.39714e+05  6.81790e-01  1.53849e-01
4.38890e+05  6.83070e-01  1.93324e-01
4.38063e+05  6.84360e-01  2.36253e-01
4.37245e+05  6.85640e-01  2.81556e-01
4.36424e+05  6.86930e-01  3.28038e-01
4.35612e+05  6.88210e-01  3.74451e-01
4.34797e+05  6.89500e-01  4.19957e-01
4.33991e+05  6.90780e-01  4.63723e-01
4.33182e+05  6.92070e-01  5.04905e-01
4.32376e+05  6.93360e-01  5.43015e-01
4.31580e+05  6.94640e-01  5.77728e-01
4.30780e+05  6.95930e-01  6.08866e-01
4.29989e+05  6.97210e-01  6.36249e-01
4.29195e+05  6.98500e-01  6.60206e-01
4.28410e+05  6.99780e-01  6.80807e-01
4.27621e+05  7.01070e-01  6.98492e-01
4.26842e+05  7.02350e-01  7.13433e-01
4.26059e+05  7.03640e-01  7.25796e-01
4.25286e+05  7.04920e-01  7.36434e-01
4.24509e+05  7.06210e-01  7.45325e-01
4.23741e+05  7.07490e-01  7.52910e-01
4.22970e+05  7.08780e-01  7.59809e-01
4.22201e+05  7.10070e-01  7.66011e-01
4.21442e+05  7.11350e-01  7.71969e-01
4.20679e+05  7.12640e-01  7.77577e-01
4.19924e+05  7.13920e-01  7.83001e-01
4.19167e+05  7.15210e-01  7.88700e-01
4.18418e+05  7.16490e-01  7.94231e-01
4.17666e+05  7.17780e-01  7.99335e-01
4.16923e+05  7.19060e-01  8.04390e-01
4.16176e+05  7.20350e-01  8.08922e-01
4.15438e+05  7.21630e-01  8.12594e-01
4.14697e+05  7.22920e-01  8.15474e-01
4.13964e+05  7.24200e-01  8.17770e-01
4.13228e+05  7.25490e-01  8.19817e-01
4.12494e+05  7.26780e-01  8.21262e-01
4.11769e+05  7.28060e-01  8.22379e-01
4.11041e+05  7.29350e-01  8.22690e-01
4.10320e+05  7.30630e-01  8.22067e-01
4.09597e+05  7.31920e-01  8.21189e-01
4.08882e+05  7.33200e-01  8.19994e-01
4.08164e+05  7.34490e-01  8.18847e-01
4.07454e+05  7.35770e-01  8.17182e-01
4.06741e+05  7.37060e-01  8.15582e-01
4.06036e+05  7.38340e-01  8.14592e-01
4.05328e+05  7.39630e-01  8.14020e-01
4.04627e+05  7.40910e-01  8.13927e-01
4.03924e+05  7.42200e-01  8.14042e-01
4.03223e+05  7.43490e-01  8.14821e-01
4.02530e+05  7.44770e-01  8.16071e-01
4.01834e+05  7.46060e-01  8.17436e-01
