UKIDSS_H
frq          wvl          transmission
[GHz]        [micron]                 
2.21904e+05  1.35100e+00  0.00000e+00
2.21822e+05  1.35150e+00  0.00000e+00
2.21740e+05  1.35200e+00  0.00000e+00
2.21658e+05  1.35250e+00  0.00000e+00
2.21576e+05  1.35300e+00  0.00000e+00
2.21494e+05  1.35350e+00  0.00000e+00
2.21412e+05  1.35400e+00  0.00000e+00
2.21331e+05  1.35450e+00  0.00000e+00
2.21249e+05  1.35500e+00  0.00000e+00
2.21167e+05  1.35550e+00  0.00000e+00
2.21086e+05  1.35600e+00  0.00000e+00
2.21004e+05  1.35650e+00  0.00000e+00
2.20923e+05  1.35700e+00  0.00000e+00
2.20842e+05  1.35750e+00  0.00000e+00
2.20760e+05  1.35800e+00  0.00000e+00
2.20679e+05  1.35850e+00  0.00000e+00
2.20598e+05  1.35900e+00  0.00000e+00
2.20517e+05  1.35950e+00  0.00000e+00
2.20436e+05  1.36000e+00  0.00000e+00
2.20355e+05  1.36050e+00  0.00000e+00
2.20274e+05  1.36100e+00  0.00000e+00
2.20193e+05  1.36150e+00  0.00000e+00
2.20112e+05  1.36200e+00  0.00000e+00
2.20031e+05  1.36250e+00  0.00000e+00
2.19950e+05  1.36300e+00  0.00000e+00
2.19870e+05  1.36350e+00  0.00000e+00
2.19789e+05  1.36400e+00  0.00000e+00
2.19709e+05  1.36450e+00  0.00000e+00
2.19628e+05  1.36500e+00  0.00000e+00
2.19548e+05  1.36550e+00  0.00000e+00
2.19467e+05  1.36600e+00  0.00000e+00
2.19387e+05  1.36650e+00  0.00000e+00
2.19307e+05  1.36700e+00  0.00000e+00
2.19227e+05  1.36750e+00  0.00000e+00
2.19147e+05  1.36800e+00  0.00000e+00
2.19066e+05  1.36850e+00  0.00000e+00
2.18986e+05  1.36900e+00  0.00000e+00
2.18907e+05  1.36950e+00  0.00000e+00
2.18827e+05  1.37000e+00  0.00000e+00
2.18747e+05  1.37050e+00  0.00000e+00
2.18667e+05  1.37100e+00  0.00000e+00
2.18587e+05  1.37150e+00  0.00000e+00
2.18508e+05  1.37200e+00  0.00000e+00
2.18428e+05  1.37250e+00  0.00000e+00
2.18348e+05  1.37300e+00  0.00000e+00
2.18269e+05  1.37350e+00  0.00000e+00
