UKIDSS_Y
frq          wvl          transmission
[GHz]        [micron]                 
3.32918e+05  9.00500e-01  0.00000e+00
3.32733e+05  9.01000e-01  0.00000e+00
3.32548e+05  9.01500e-01  0.00000e+00
3.32364e+05  9.02000e-01  0.00000e+00
3.32180e+05  9.02500e-01  0.00000e+00
3.31996e+05  9.03000e-01  0.00000e+00
3.31812e+05  9.03500e-01  0.00000e+00
3.31629e+05  9.04000e-01  0.00000e+00
3.31446e+05  9.04500e-01  0.00000e+00
3.31262e+05  9.05000e-01  0.00000e+00
3.31079e+05  9.05500e-01  0.00000e+00
3.30897e+05  9.06000e-01  0.00000e+00
3.30714e+05  9.06500e-01  0.00000e+00
3.30532e+05  9.07000e-01  0.00000e+00
3.30350e+05  9.07500e-01  0.00000e+00
3.30168e+05  9.08000e-01  0.00000e+00
3.29986e+05  9.08500e-01  0.00000e+00
3.29805e+05  9.09000e-01  0.00000e+00
3.29623e+05  9.09500e-01  0.00000e+00
3.29442e+05  9.10000e-01  0.00000e+00
3.29261e+05  9.10500e-01  0.00000e+00
3.29081e+05  9.11000e-01  0.00000e+00
3.28900e+05  9.11500e-01  0.00000e+00
3.28720e+05  9.12000e-01  0.00000e+00
3.28540e+05  9.12500e-01  0.00000e+00
3.28360e+05  9.13000e-01  0.00000e+00
3.28180e+05  9.13500e-01  0.00000e+00
3.28001e+05  9.14000e-01  0.00000e+00
3.27821e+05  9.14500e-01  0.00000e+00
3.27642e+05  9.15000e-01  0.00000e+00
3.27463e+05  9.15500e-01  0.00000e+00
3.27284e+05  9.16000e-01  0.00000e+00
3.27106e+05  9.16500e-01  0.00000e+00
3.26927e+05  9.17000e-01  0.00000e+00
3.26749e+05  9.17500e-01  0.00000e+00
3.26571e+05  9.18000e-01  0.00000e+00
3.26394e+05  9.18500e-01  0.00000e+00
3.26216e+05  9.19000e-01  0.00000e+00
3.26039e+05  9.19500e-01  0.00000e+00
3.25861e+05  9.20000e-01  0.00000e+00
3.25684e+05  9.20500e-01  0.00000e+00
3.25508e+05  9.21000e-01  0.00000e+00
3.25331e+05  9.21500e-01  0.00000e+00
3.25155e+05  9.22000e-01  0.00000e+00
3.24978e+05  9.22500e-01  0.00000e+00
3.24802e+05  9.23000e-01  0.00000e+00
3.24626e+05  9.23500e-01  0.00000e+00
3.24451e+05  9.24000e-01  0.00000e+00
3.24275e+05  9.24500e-01  0.00000e+00
3.24100e+05  9.25000e-01  0.00000e+00
3.23925e+05  9.25500e-01  0.00000e+00
3.23750e+05  9.26000e-01  0.00000e+00
3.23575e+05  9.26500e-01  0.00000e+00
3.23401e+05  9.27000e-01  0.00000e+00
3.23226e+05  9.27500e-01  0.00000e+00
3.23052e+05  9.28000e-01  0.00000e+00
3.22878e+05  9.28500e-01  0.00000e+00
3.22704e+05  9.29000e-01  0.00000e+00
3.22531e+05  9.29500e-01  0.00000e+00
3.22357e+05  9.30000e-01  0.00000e+00
3.22184e+05  9.30500e-01  1.00000e-04
3.22011e+05  9.31000e-01  1.00000e-04
3.21838e+05  9.31500e-01  1.00000e-04
3.21666e+05  9.32000e-01  0.00000e+00
3.21493e+05  9.32500e-01  1.00000e-04
3.21321e+05  9.33000e-01  1.00000e-04
3.21149e+05  9.33500e-01  1.00000e-04
3.20977e+05  9.34000e-01  1.00000e-04
3.20805e+05  9.34500e-01  1.00000e-04
3.20634e+05  9.35000e-01  1.00000e-04
3.20462e+05  9.35500e-01  1.00000e-04
3.20291e+05  9.36000e-01  1.00000e-04
3.20120e+05  9.36500e-01  1.00000e-04
3.19949e+05  9.37000e-01  1.00000e-04
3.19779e+05  9.37500e-01  1.00000e-04
3.19608e+05  9.38000e-01  1.00000e-04
3.19438e+05  9.38500e-01  1.00000e-04
3.19268e+05  9.39000e-01  1.00000e-04
3.19098e+05  9.39500e-01  1.00000e-04
3.18928e+05  9.40000e-01  1.00000e-04
3.18759e+05  9.40500e-01  1.00000e-04
3.18589e+05  9.41000e-01  1.00000e-04
3.18420e+05  9.41500e-01  1.00000e-04
3.18251e+05  9.42000e-01  1.00000e-04
3.18082e+05  9.42500e-01  2.00000e-04
3.17914e+05  9.43000e-01  1.00000e-04
3.17745e+05  9.43500e-01  2.00000e-04
3.17577e+05  9.44000e-01  2.00000e-04
3.17409e+05  9.44500e-01  1.00000e-04
3.17241e+05  9.45000e-01  2.00000e-04
3.17073e+05  9.45500e-01  2.00000e-04
3.16905e+05  9.46000e-01  2.00000e-04
3.16738e+05  9.46500e-01  2.00000e-04
3.16571e+05  9.47000e-01  3.00000e-04
3.16404e+05  9.47500e-01  3.00000e-04
3.16237e+05  9.48000e-01  3.00000e-04
3.16070e+05  9.48500e-01  3.00000e-04
3.15904e+05  9.49000e-01  4.00000e-04
3.15737e+05  9.49500e-01  4.00000e-04
3.15571e+05  9.50000e-01  4.00000e-04
3.15405e+05  9.50500e-01  4.00000e-04
3.15239e+05  9.51000e-01  5.00000e-04
3.15074e+05  9.51500e-01  5.00000e-04
3.14908e+05  9.52000e-01  5.00000e-04
3.14743e+05  9.52500e-01  5.00000e-04
3.14578e+05  9.53000e-01  6.00000e-04
3.14413e+05  9.53500e-01  7.00000e-04
3.14248e+05  9.54000e-01  7.00000e-04
3.14083e+05  9.54500e-01  8.00000e-04
3.13919e+05  9.55000e-01  9.00000e-04
3.13755e+05  9.55500e-01  9.00000e-04
3.13590e+05  9.56000e-01  1.00000e-03
3.13427e+05  9.56500e-01  1.10000e-03
3.13263e+05  9.57000e-01  1.10000e-03
3.13099e+05  9.57500e-01  1.40000e-03
3.12936e+05  9.58000e-01  1.50000e-03
3.12773e+05  9.58500e-01  1.60000e-03
3.12609e+05  9.59000e-01  1.70000e-03
3.12447e+05  9.59500e-01  1.80000e-03
3.12284e+05  9.60000e-01  2.10000e-03
3.12121e+05  9.60500e-01  2.40000e-03
3.11959e+05  9.61000e-01  2.60000e-03
3.11797e+05  9.61500e-01  2.90000e-03
3.11635e+05  9.62000e-01  3.20000e-03
3.11473e+05  9.62500e-01  3.30000e-03
3.11311e+05  9.63000e-01  3.80000e-03
3.11149e+05  9.63500e-01  4.40000e-03
3.10988e+05  9.64000e-01  4.40000e-03
3.10827e+05  9.64500e-01  5.30000e-03
3.10666e+05  9.65000e-01  5.80000e-03
3.10505e+05  9.65500e-01  6.70000e-03
3.10344e+05  9.66000e-01  7.40000e-03
3.10184e+05  9.66500e-01  7.70000e-03
3.10023e+05  9.67000e-01  9.10000e-03
3.09863e+05  9.67500e-01  1.03000e-02
3.09703e+05  9.68000e-01  1.16000e-02
3.09543e+05  9.68500e-01  1.27000e-02
3.09383e+05  9.69000e-01  1.45000e-02
3.09224e+05  9.69500e-01  1.62000e-02
3.09064e+05  9.70000e-01  1.81000e-02
3.08905e+05  9.70500e-01  1.99000e-02
3.08746e+05  9.71000e-01  2.28000e-02
3.08587e+05  9.71500e-01  2.56000e-02
3.08428e+05  9.72000e-01  2.83000e-02
3.08270e+05  9.72500e-01  3.14000e-02
3.08111e+05  9.73000e-01  3.54000e-02
3.07953e+05  9.73500e-01  3.92000e-02
3.07795e+05  9.74000e-01  4.22000e-02
3.07637e+05  9.74500e-01  4.70000e-02
3.07479e+05  9.75000e-01  5.25000e-02
3.07322e+05  9.75500e-01  5.78000e-02
3.07164e+05  9.76000e-01  6.16000e-02
3.07007e+05  9.76500e-01  6.79000e-02
3.06850e+05  9.77000e-01  7.52000e-02
3.06693e+05  9.77500e-01  8.12000e-02
3.06536e+05  9.78000e-01  8.67000e-02
3.06380e+05  9.78500e-01  9.03000e-02
3.06223e+05  9.79000e-01  9.83000e-02
3.06067e+05  9.79500e-01  1.01100e-01
3.05911e+05  9.80000e-01  1.08800e-01
3.05755e+05  9.80500e-01  1.11100e-01
3.05599e+05  9.81000e-01  1.18100e-01
3.05443e+05  9.81500e-01  1.21600e-01
3.05288e+05  9.82000e-01  1.25000e-01
3.05132e+05  9.82500e-01  1.27800e-01
3.04977e+05  9.83000e-01  1.30600e-01
3.04822e+05  9.83500e-01  1.33200e-01
3.04667e+05  9.84000e-01  1.36000e-01
3.04512e+05  9.84500e-01  1.37300e-01
3.04358e+05  9.85000e-01  1.38900e-01
3.04203e+05  9.85500e-01  1.40900e-01
3.04049e+05  9.86000e-01  1.42200e-01
3.03895e+05  9.86500e-01  1.43400e-01
3.03741e+05  9.87000e-01  1.44200e-01
3.03587e+05  9.87500e-01  1.45100e-01
3.03434e+05  9.88000e-01  1.46300e-01
3.03280e+05  9.88500e-01  1.47400e-01
3.03127e+05  9.89000e-01  1.48300e-01
3.02974e+05  9.89500e-01  1.49100e-01
3.02821e+05  9.90000e-01  1.50000e-01
3.02668e+05  9.90500e-01  1.51200e-01
3.02515e+05  9.91000e-01  1.52200e-01
3.02363e+05  9.91500e-01  1.53200e-01
