UKIRT_UKIDSS_J
frq          wvl          transmission
[GHz]        [micron]                 
2.61143e+05  1.14800e+00  4.40000e-03
2.61030e+05  1.14850e+00  4.60000e-03
2.60916e+05  1.14900e+00  4.40000e-03
2.60802e+05  1.14950e+00  4.90000e-03
2.60689e+05  1.15000e+00  4.60000e-03
2.60576e+05  1.15050e+00  6.20000e-03
2.60463e+05  1.15100e+00  6.20000e-03
2.60350e+05  1.15150e+00  6.90000e-03
2.60237e+05  1.15200e+00  6.40000e-03
2.60124e+05  1.15250e+00  7.00000e-03
2.60011e+05  1.15300e+00  8.70000e-03
2.59898e+05  1.15350e+00  9.50000e-03
2.59785e+05  1.15400e+00  9.10000e-03
2.59673e+05  1.15450e+00  1.04000e-02
2.59561e+05  1.15500e+00  1.17000e-02
2.59448e+05  1.15550e+00  1.28000e-02
2.59336e+05  1.15600e+00  1.38000e-02
2.59224e+05  1.15650e+00  1.49000e-02
2.59112e+05  1.15700e+00  1.72000e-02
2.59000e+05  1.15750e+00  1.82000e-02
2.58888e+05  1.15800e+00  1.87000e-02
2.58776e+05  1.15850e+00  2.16000e-02
2.58665e+05  1.15900e+00  2.11000e-02
2.58553e+05  1.15950e+00  2.55000e-02
2.58442e+05  1.16000e+00  2.77000e-02
2.58330e+05  1.16050e+00  2.83000e-02
2.58219e+05  1.16100e+00  3.32000e-02
2.58108e+05  1.16150e+00  3.52000e-02
2.57997e+05  1.16200e+00  3.92000e-02
2.57886e+05  1.16250e+00  4.10000e-02
2.57775e+05  1.16300e+00  4.66000e-02
2.57664e+05  1.16350e+00  4.96000e-02
2.57554e+05  1.16400e+00  5.35000e-02
2.57443e+05  1.16450e+00  5.86000e-02
2.57333e+05  1.16500e+00  6.17000e-02
2.57222e+05  1.16550e+00  6.70000e-02
2.57112e+05  1.16600e+00  7.08000e-02
2.57002e+05  1.16650e+00  7.75000e-02
2.56892e+05  1.16700e+00  8.24000e-02
2.56782e+05  1.16750e+00  8.93000e-02
2.56672e+05  1.16800e+00  9.47000e-02
2.56562e+05  1.16850e+00  9.89000e-02
2.56452e+05  1.16900e+00  1.06300e-01
2.56342e+05  1.16950e+00  1.10300e-01
2.56233e+05  1.17000e+00  1.17500e-01
2.56123e+05  1.17050e+00  1.21200e-01
2.56014e+05  1.17100e+00  1.26100e-01
2.55905e+05  1.17150e+00  1.33200e-01
2.55796e+05  1.17200e+00  1.36800e-01
2.55687e+05  1.17250e+00  1.39900e-01
2.55578e+05  1.17300e+00  1.44500e-01
2.55469e+05  1.17350e+00  1.48500e-01
2.55360e+05  1.17400e+00  1.44500e-01
2.55251e+05  1.17450e+00  1.55200e-01
2.55143e+05  1.17500e+00  1.59100e-01
2.55034e+05  1.17550e+00  1.57200e-01
