UKIRT_UKIDSS_K
frq          wvl          transmission
[GHz]        [micron]                 
1.52916e+05  1.96050e+00  4.40000e-03
1.52877e+05  1.96100e+00  3.30000e-03
1.52838e+05  1.96150e+00  4.10000e-03
1.52799e+05  1.96200e+00  3.90000e-03
1.52760e+05  1.96250e+00  4.70000e-03
1.52722e+05  1.96300e+00  4.20000e-03
1.52683e+05  1.96350e+00  3.40000e-03
1.52644e+05  1.96400e+00  3.20000e-03
1.52605e+05  1.96450e+00  3.80000e-03
1.52566e+05  1.96500e+00  5.30000e-03
1.52527e+05  1.96550e+00  4.60000e-03
1.52489e+05  1.96600e+00  3.50000e-03
1.52450e+05  1.96650e+00  4.70000e-03
1.52411e+05  1.96700e+00  6.10000e-03
1.52372e+05  1.96750e+00  5.20000e-03
1.52334e+05  1.96800e+00  4.00000e-03
1.52295e+05  1.96850e+00  6.10000e-03
1.52256e+05  1.96900e+00  6.50000e-03
1.52218e+05  1.96950e+00  5.30000e-03
1.52179e+05  1.97000e+00  6.00000e-03
1.52140e+05  1.97050e+00  7.30000e-03
1.52102e+05  1.97100e+00  5.90000e-03
1.52063e+05  1.97150e+00  5.30000e-03
1.52025e+05  1.97200e+00  7.20000e-03
1.51986e+05  1.97250e+00  7.10000e-03
1.51948e+05  1.97300e+00  7.00000e-03
1.51909e+05  1.97350e+00  8.30000e-03
1.51871e+05  1.97400e+00  7.30000e-03
1.51832e+05  1.97450e+00  7.70000e-03
1.51794e+05  1.97500e+00  9.00000e-03
1.51755e+05  1.97550e+00  8.60000e-03
1.51717e+05  1.97600e+00  8.40000e-03
1.51678e+05  1.97650e+00  9.60000e-03
1.51640e+05  1.97700e+00  9.40000e-03
1.51602e+05  1.97750e+00  9.60000e-03
1.51563e+05  1.97800e+00  1.00000e-02
1.51525e+05  1.97850e+00  1.00000e-02
1.51487e+05  1.97900e+00  1.06000e-02
1.51449e+05  1.97950e+00  1.02000e-02
1.51410e+05  1.98000e+00  8.30000e-03
1.51372e+05  1.98050e+00  9.20000e-03
1.51334e+05  1.98100e+00  1.14000e-02
1.51296e+05  1.98150e+00  1.18000e-02
1.51258e+05  1.98200e+00  1.20000e-02
1.51219e+05  1.98250e+00  1.22000e-02
1.51181e+05  1.98300e+00  1.18000e-02
1.51143e+05  1.98350e+00  1.28000e-02
1.51105e+05  1.98400e+00  1.31000e-02
1.51067e+05  1.98450e+00  1.33000e-02
1.51029e+05  1.98500e+00  1.33000e-02
1.50991e+05  1.98550e+00  1.36000e-02
1.50953e+05  1.98600e+00  1.42000e-02
1.50915e+05  1.98650e+00  1.44000e-02
1.50877e+05  1.98700e+00  1.11000e-02
1.50839e+05  1.98750e+00  1.49000e-02
1.50801e+05  1.98800e+00  1.54000e-02
1.50763e+05  1.98850e+00  1.58000e-02
1.50725e+05  1.98900e+00  1.62000e-02
1.50687e+05  1.98950e+00  1.65000e-02
1.50649e+05  1.99000e+00  1.51000e-02
1.50612e+05  1.99050e+00  1.63000e-02
1.50574e+05  1.99100e+00  1.75000e-02
1.50536e+05  1.99150e+00  1.82000e-02
1.50498e+05  1.99200e+00  1.85000e-02
