UKIRT_UKIDSS_Y
frq          wvl          transmission
[GHz]        [micron]                 
3.11149e+05  9.63500e-01  4.40000e-03
3.10988e+05  9.64000e-01  4.40000e-03
3.10827e+05  9.64500e-01  5.30000e-03
3.10666e+05  9.65000e-01  5.80000e-03
3.10505e+05  9.65500e-01  6.70000e-03
3.10344e+05  9.66000e-01  7.40000e-03
3.10184e+05  9.66500e-01  7.70000e-03
3.10023e+05  9.67000e-01  9.10000e-03
3.09863e+05  9.67500e-01  1.03000e-02
3.09703e+05  9.68000e-01  1.16000e-02
3.09543e+05  9.68500e-01  1.27000e-02
3.09383e+05  9.69000e-01  1.45000e-02
3.09224e+05  9.69500e-01  1.62000e-02
3.09064e+05  9.70000e-01  1.81000e-02
3.08905e+05  9.70500e-01  1.99000e-02
3.08746e+05  9.71000e-01  2.28000e-02
3.08587e+05  9.71500e-01  2.56000e-02
3.08428e+05  9.72000e-01  2.83000e-02
3.08270e+05  9.72500e-01  3.14000e-02
3.08111e+05  9.73000e-01  3.54000e-02
3.07953e+05  9.73500e-01  3.92000e-02
3.07795e+05  9.74000e-01  4.22000e-02
3.07637e+05  9.74500e-01  4.70000e-02
3.07479e+05  9.75000e-01  5.25000e-02
3.07322e+05  9.75500e-01  5.78000e-02
3.07164e+05  9.76000e-01  6.16000e-02
3.07007e+05  9.76500e-01  6.79000e-02
3.06850e+05  9.77000e-01  7.52000e-02
3.06693e+05  9.77500e-01  8.12000e-02
3.06536e+05  9.78000e-01  8.67000e-02
3.06380e+05  9.78500e-01  9.03000e-02
3.06223e+05  9.79000e-01  9.83000e-02
3.06067e+05  9.79500e-01  1.01100e-01
3.05911e+05  9.80000e-01  1.08800e-01
3.05755e+05  9.80500e-01  1.11100e-01
3.05599e+05  9.81000e-01  1.18100e-01
3.05443e+05  9.81500e-01  1.21600e-01
3.05288e+05  9.82000e-01  1.25000e-01
3.05132e+05  9.82500e-01  1.27800e-01
3.04977e+05  9.83000e-01  1.30600e-01
3.04822e+05  9.83500e-01  1.33200e-01
3.04667e+05  9.84000e-01  1.36000e-01
3.04512e+05  9.84500e-01  1.37300e-01
3.04358e+05  9.85000e-01  1.38900e-01
3.04203e+05  9.85500e-01  1.40900e-01
3.04049e+05  9.86000e-01  1.42200e-01
3.03895e+05  9.86500e-01  1.43400e-01
3.03741e+05  9.87000e-01  1.44200e-01
3.03587e+05  9.87500e-01  1.45100e-01
3.03434e+05  9.88000e-01  1.46300e-01
3.03280e+05  9.88500e-01  1.47400e-01
3.03127e+05  9.89000e-01  1.48300e-01
3.02974e+05  9.89500e-01  1.49100e-01
3.02821e+05  9.90000e-01  1.50000e-01
3.02668e+05  9.90500e-01  1.51200e-01
3.02515e+05  9.91000e-01  1.52200e-01
3.02363e+05  9.91500e-01  1.53200e-01
3.02210e+05  9.92000e-01  1.54300e-01
3.02058e+05  9.92500e-01  1.55400e-01
3.01906e+05  9.93000e-01  1.56200e-01
3.01754e+05  9.93500e-01  1.57600e-01
3.01602e+05  9.94000e-01  1.58800e-01
3.01450e+05  9.94500e-01  1.59900e-01
3.01299e+05  9.95000e-01  1.61100e-01
3.01148e+05  9.95500e-01  1.62200e-01
3.00996e+05  9.96000e-01  1.63400e-01
3.00845e+05  9.96500e-01  1.64600e-01
3.00695e+05  9.97000e-01  1.65600e-01
3.00544e+05  9.97500e-01  1.66800e-01
3.00393e+05  9.98000e-01  1.67700e-01
3.00243e+05  9.98500e-01  1.68800e-01
3.00093e+05  9.99000e-01  1.69700e-01
2.99942e+05  9.99500e-01  1.70500e-01
2.99792e+05  1.00000e+00  1.71400e-01
2.99643e+05  1.00050e+00  1.72300e-01
2.99493e+05  1.00100e+00  1.73000e-01
2.99343e+05  1.00150e+00  1.73600e-01
2.99194e+05  1.00200e+00  1.73900e-01
2.99045e+05  1.00250e+00  1.74700e-01
2.98896e+05  1.00300e+00  1.75300e-01
2.98747e+05  1.00350e+00  1.75700e-01
2.98598e+05  1.00400e+00  1.75900e-01
2.98449e+05  1.00450e+00  1.76300e-01
2.98301e+05  1.00500e+00  1.76600e-01
2.98153e+05  1.00550e+00  1.76800e-01
2.98004e+05  1.00600e+00  1.77000e-01
2.97856e+05  1.00650e+00  1.77100e-01
2.97708e+05  1.00700e+00  1.77200e-01
2.97561e+05  1.00750e+00  1.77300e-01
2.97413e+05  1.00800e+00  1.77200e-01
2.97266e+05  1.00850e+00  1.77300e-01
2.97118e+05  1.00900e+00  1.77200e-01
2.96971e+05  1.00950e+00  1.77000e-01
2.96824e+05  1.01000e+00  1.77200e-01
2.96677e+05  1.01050e+00  1.77200e-01
2.96531e+05  1.01100e+00  1.77100e-01
2.96384e+05  1.01150e+00  1.77100e-01
2.96238e+05  1.01200e+00  1.76900e-01
2.96091e+05  1.01250e+00  1.76900e-01
2.95945e+05  1.01300e+00  1.76900e-01
2.95799e+05  1.01350e+00  1.76800e-01
2.95653e+05  1.01400e+00  1.76800e-01
2.95508e+05  1.01450e+00  1.76700e-01
2.95362e+05  1.01500e+00  1.76700e-01
2.95217e+05  1.01550e+00  1.76600e-01
2.95071e+05  1.01600e+00  1.76700e-01
2.94926e+05  1.01650e+00  1.76700e-01
2.94781e+05  1.01700e+00  1.76700e-01
2.94636e+05  1.01750e+00  1.76700e-01
2.94492e+05  1.01800e+00  1.76800e-01
2.94347e+05  1.01850e+00  1.76900e-01
2.94203e+05  1.01900e+00  1.76900e-01
2.94058e+05  1.01950e+00  1.76800e-01
2.93914e+05  1.02000e+00  1.77100e-01
2.93770e+05  1.02050e+00  1.77100e-01
2.93626e+05  1.02100e+00  1.77300e-01
2.93483e+05  1.02150e+00  1.77400e-01
2.93339e+05  1.02200e+00  1.77500e-01
2.93196e+05  1.02250e+00  1.77600e-01
2.93052e+05  1.02300e+00  1.77700e-01
2.92909e+05  1.02350e+00  1.77800e-01
2.92766e+05  1.02400e+00  1.77800e-01
