VLA_K_22.0GHz
frq          wvl          transmission
[GHz]        [micron]                 
1.39990e+01  2.14153e+04  0.00000e+00
1.40490e+01  2.13391e+04  0.00000e+00
1.40990e+01  2.12634e+04  0.00000e+00
1.41490e+01  2.11882e+04  0.00000e+00
1.41990e+01  2.11136e+04  0.00000e+00
1.42490e+01  2.10395e+04  0.00000e+00
1.42990e+01  2.09660e+04  0.00000e+00
1.43490e+01  2.08929e+04  0.00000e+00
1.43990e+01  2.08204e+04  0.00000e+00
1.44490e+01  2.07483e+04  0.00000e+00
1.44990e+01  2.06768e+04  0.00000e+00
1.45490e+01  2.06057e+04  0.00000e+00
1.45990e+01  2.05351e+04  0.00000e+00
1.46490e+01  2.04650e+04  0.00000e+00
1.46990e+01  2.03954e+04  0.00000e+00
1.47490e+01  2.03263e+04  0.00000e+00
1.47990e+01  2.02576e+04  0.00000e+00
1.48490e+01  2.01894e+04  0.00000e+00
1.48990e+01  2.01216e+04  0.00000e+00
1.49490e+01  2.00543e+04  0.00000e+00
1.49990e+01  1.99875e+04  0.00000e+00
1.50490e+01  1.99211e+04  0.00000e+00
1.50990e+01  1.98551e+04  0.00000e+00
1.51490e+01  1.97896e+04  0.00000e+00
1.51990e+01  1.97245e+04  0.00000e+00
1.52490e+01  1.96598e+04  0.00000e+00
1.52990e+01  1.95956e+04  0.00000e+00
1.53490e+01  1.95317e+04  0.00000e+00
1.53990e+01  1.94683e+04  0.00000e+00
1.54490e+01  1.94053e+04  0.00000e+00
1.54990e+01  1.93427e+04  0.00000e+00
1.55490e+01  1.92805e+04  0.00000e+00
1.55990e+01  1.92187e+04  0.00000e+00
1.56490e+01  1.91573e+04  0.00000e+00
1.56990e+01  1.90963e+04  0.00000e+00
1.57490e+01  1.90357e+04  0.00000e+00
1.57990e+01  1.89754e+04  0.00000e+00
1.58490e+01  1.89155e+04  0.00000e+00
1.58990e+01  1.88561e+04  0.00000e+00
1.59490e+01  1.87969e+04  0.00000e+00
1.59990e+01  1.87382e+04  0.00000e+00
1.60490e+01  1.86798e+04  0.00000e+00
1.60990e+01  1.86218e+04  0.00000e+00
1.61490e+01  1.85641e+04  0.00000e+00
1.61990e+01  1.85068e+04  0.00000e+00
1.62490e+01  1.84499e+04  0.00000e+00
1.62990e+01  1.83933e+04  0.00000e+00
1.63490e+01  1.83371e+04  0.00000e+00
1.63990e+01  1.82811e+04  0.00000e+00
1.64490e+01  1.82256e+04  0.00000e+00
1.64990e+01  1.81703e+04  0.00000e+00
1.65490e+01  1.81154e+04  0.00000e+00
1.65990e+01  1.80609e+04  0.00000e+00
1.66490e+01  1.80066e+04  0.00000e+00
1.66990e+01  1.79527e+04  0.00000e+00
1.67490e+01  1.78991e+04  0.00000e+00
1.67990e+01  1.78459e+04  0.00000e+00
1.68490e+01  1.77929e+04  0.00000e+00
1.68990e+01  1.77402e+04  0.00000e+00
1.69490e+01  1.76879e+04  0.00000e+00
1.69990e+01  1.76359e+04  0.00000e+00
1.70490e+01  1.75842e+04  0.00000e+00
1.70990e+01  1.75327e+04  0.00000e+00
1.71490e+01  1.74816e+04  0.00000e+00
1.71990e+01  1.74308e+04  0.00000e+00
1.72490e+01  1.73803e+04  0.00000e+00
1.72990e+01  1.73300e+04  0.00000e+00
1.73490e+01  1.72801e+04  0.00000e+00
1.73990e+01  1.72304e+04  0.00000e+00
1.74490e+01  1.71811e+04  0.00000e+00
1.74990e+01  1.71320e+04  0.00000e+00
1.75490e+01  1.70832e+04  0.00000e+00
1.75990e+01  1.70346e+04  0.00000e+00
1.76490e+01  1.69864e+04  0.00000e+00
1.76990e+01  1.69384e+04  0.00000e+00
1.77490e+01  1.68907e+04  0.00000e+00
1.77990e+01  1.68432e+04  0.00000e+00
1.78490e+01  1.67960e+04  0.00000e+00
1.78990e+01  1.67491e+04  0.00000e+00
1.79490e+01  1.67025e+04  0.00000e+00
