VLA_Ka_34.4GHz
frq          wvl          transmission
[GHz]        [micron]                 
3.24000e+01  9.25285e+03  0.00000e+00
3.24500e+01  9.23860e+03  0.00000e+00
3.25000e+01  9.22438e+03  0.00000e+00
3.25500e+01  9.21021e+03  0.00000e+00
3.26000e+01  9.19609e+03  0.00000e+00
3.26500e+01  9.18200e+03  0.00000e+00
3.27000e+01  9.16797e+03  0.00000e+00
3.27500e+01  9.15397e+03  0.00000e+00
3.28000e+01  9.14001e+03  0.00000e+00
3.28500e+01  9.12610e+03  0.00000e+00
3.29000e+01  9.11223e+03  0.00000e+00
3.29500e+01  9.09841e+03  0.00000e+00
3.30000e+01  9.08462e+03  0.00000e+00
3.30500e+01  9.07088e+03  0.00000e+00
3.31000e+01  9.05717e+03  0.00000e+00
3.31500e+01  9.04351e+03  0.00000e+00
3.32000e+01  9.02989e+03  0.00000e+00
3.32500e+01  9.01631e+03  0.00000e+00
3.33000e+01  9.00278e+03  0.00000e+00
3.33500e+01  8.98928e+03  0.00000e+00
3.34000e+01  8.97582e+03  0.00000e+00
3.34500e+01  8.96241e+03  1.00000e+00
3.35000e+01  8.94903e+03  1.00000e+00
3.35500e+01  8.93569e+03  1.00000e+00
3.36000e+01  8.92239e+03  1.00000e+00
3.36500e+01  8.90914e+03  1.00000e+00
3.37000e+01  8.89592e+03  1.00000e+00
3.37500e+01  8.88274e+03  1.00000e+00
3.38000e+01  8.86960e+03  1.00000e+00
3.38500e+01  8.85650e+03  1.00000e+00
3.39000e+01  8.84344e+03  1.00000e+00
3.39500e+01  8.83041e+03  1.00000e+00
3.40000e+01  8.81743e+03  1.00000e+00
3.40500e+01  8.80448e+03  1.00000e+00
3.41000e+01  8.79157e+03  1.00000e+00
3.41500e+01  8.77870e+03  1.00000e+00
3.42000e+01  8.76586e+03  1.00000e+00
3.42500e+01  8.75306e+03  1.00000e+00
3.43000e+01  8.74030e+03  1.00000e+00
3.43500e+01  8.72758e+03  1.00000e+00
3.44000e+01  8.71490e+03  1.00000e+00
3.44500e+01  8.70225e+03  1.00000e+00
3.45000e+01  8.68964e+03  1.00000e+00
3.45500e+01  8.67706e+03  1.00000e+00
3.46000e+01  8.66452e+03  1.00000e+00
3.46500e+01  8.65202e+03  1.00000e+00
3.47000e+01  8.63955e+03  1.00000e+00
3.47500e+01  8.62712e+03  1.00000e+00
3.48000e+01  8.61473e+03  1.00000e+00
3.48500e+01  8.60237e+03  1.00000e+00
3.49000e+01  8.59004e+03  1.00000e+00
3.49500e+01  8.57775e+03  1.00000e+00
3.50000e+01  8.56550e+03  1.00000e+00
3.50500e+01  8.55328e+03  1.00000e+00
3.51000e+01  8.54110e+03  1.00000e+00
3.51500e+01  8.52895e+03  1.00000e+00
3.52000e+01  8.51683e+03  1.00000e+00
3.52500e+01  8.50475e+03  1.00000e+00
3.53000e+01  8.49270e+03  1.00000e+00
3.53500e+01  8.48069e+03  1.00000e+00
3.54000e+01  8.46871e+03  1.00000e+00
3.54500e+01  8.45677e+03  0.00000e+00
3.55000e+01  8.44486e+03  0.00000e+00
3.55500e+01  8.43298e+03  0.00000e+00
3.56000e+01  8.42114e+03  0.00000e+00
3.56500e+01  8.40933e+03  0.00000e+00
3.57000e+01  8.39755e+03  0.00000e+00
3.57500e+01  8.38580e+03  0.00000e+00
3.58000e+01  8.37409e+03  0.00000e+00
3.58500e+01  8.36241e+03  0.00000e+00
3.59000e+01  8.35076e+03  0.00000e+00
3.59500e+01  8.33915e+03  0.00000e+00
3.60000e+01  8.32757e+03  0.00000e+00
3.60500e+01  8.31602e+03  0.00000e+00
3.61000e+01  8.30450e+03  0.00000e+00
3.61500e+01  8.29301e+03  0.00000e+00
3.62000e+01  8.28156e+03  0.00000e+00
3.62500e+01  8.27014e+03  0.00000e+00
3.63000e+01  8.25875e+03  0.00000e+00
3.63500e+01  8.24739e+03  0.00000e+00
