VLA_Ku_14.9GHz
frq          wvl          transmission
[GHz]        [micron]                 
1.39000e+01  2.15678e+04  0.00000e+00
1.39500e+01  2.14905e+04  0.00000e+00
1.40000e+01  2.14137e+04  0.00000e+00
1.40500e+01  2.13375e+04  0.00000e+00
1.41000e+01  2.12619e+04  0.00000e+00
1.41500e+01  2.11867e+04  0.00000e+00
1.42000e+01  2.11121e+04  0.00000e+00
1.42500e+01  2.10381e+04  0.00000e+00
1.43000e+01  2.09645e+04  0.00000e+00
1.43500e+01  2.08915e+04  0.00000e+00
1.44000e+01  2.08189e+04  1.00000e+00
1.44500e+01  2.07469e+04  1.00000e+00
1.45000e+01  2.06753e+04  1.00000e+00
1.45500e+01  2.06043e+04  1.00000e+00
1.46000e+01  2.05337e+04  1.00000e+00
1.46500e+01  2.04636e+04  1.00000e+00
1.47000e+01  2.03940e+04  1.00000e+00
1.47500e+01  2.03249e+04  1.00000e+00
1.48000e+01  2.02562e+04  1.00000e+00
1.48500e+01  2.01880e+04  1.00000e+00
1.49000e+01  2.01203e+04  1.00000e+00
1.49500e+01  2.00530e+04  1.00000e+00
1.50000e+01  1.99862e+04  1.00000e+00
1.50500e+01  1.99198e+04  1.00000e+00
1.51000e+01  1.98538e+04  1.00000e+00
1.51500e+01  1.97883e+04  1.00000e+00
1.52000e+01  1.97232e+04  1.00000e+00
1.52500e+01  1.96585e+04  1.00000e+00
1.53000e+01  1.95943e+04  1.00000e+00
1.53500e+01  1.95305e+04  1.00000e+00
1.54000e+01  1.94670e+04  0.00000e+00
1.54500e+01  1.94040e+04  0.00000e+00
1.55000e+01  1.93414e+04  0.00000e+00
1.55500e+01  1.92793e+04  0.00000e+00
1.56000e+01  1.92175e+04  0.00000e+00
1.56500e+01  1.91561e+04  0.00000e+00
1.57000e+01  1.90951e+04  0.00000e+00
1.57500e+01  1.90344e+04  0.00000e+00
1.58000e+01  1.89742e+04  0.00000e+00
1.58500e+01  1.89144e+04  0.00000e+00
