VLA_X_8.48GHz
frq          wvl          transmission
[GHz]        [micron]                 
7.48000e+00  4.00792e+04  0.00000e+00
7.53000e+00  3.98131e+04  0.00000e+00
7.58000e+00  3.95505e+04  0.00000e+00
7.63000e+00  3.92913e+04  0.00000e+00
7.68000e+00  3.90355e+04  0.00000e+00
7.73000e+00  3.87830e+04  0.00000e+00
7.78000e+00  3.85337e+04  0.00000e+00
7.83000e+00  3.82877e+04  0.00000e+00
7.88000e+00  3.80447e+04  0.00000e+00
7.93000e+00  3.78048e+04  0.00000e+00
7.98000e+00  3.75680e+04  0.00000e+00
8.03000e+00  3.73341e+04  1.00000e+00
8.08000e+00  3.71030e+04  1.00000e+00
8.13000e+00  3.68748e+04  1.00000e+00
8.18000e+00  3.66494e+04  1.00000e+00
8.23000e+00  3.64268e+04  1.00000e+00
8.28000e+00  3.62068e+04  1.00000e+00
8.33000e+00  3.59895e+04  1.00000e+00
8.38000e+00  3.57748e+04  1.00000e+00
8.43000e+00  3.55626e+04  1.00000e+00
8.48000e+00  3.53529e+04  1.00000e+00
8.53000e+00  3.51457e+04  1.00000e+00
8.58000e+00  3.49408e+04  1.00000e+00
8.63000e+00  3.47384e+04  1.00000e+00
8.68000e+00  3.45383e+04  1.00000e+00
8.73000e+00  3.43405e+04  1.00000e+00
8.78000e+00  3.41449e+04  1.00000e+00
8.83000e+00  3.39516e+04  1.00000e+00
8.88000e+00  3.37604e+04  1.00000e+00
8.93000e+00  3.35714e+04  1.00000e+00
8.98000e+00  3.33845e+04  1.00000e+00
9.03000e+00  3.31996e+04  0.00000e+00
9.08000e+00  3.30168e+04  0.00000e+00
9.13000e+00  3.28360e+04  0.00000e+00
9.18000e+00  3.26571e+04  0.00000e+00
9.23000e+00  3.24802e+04  0.00000e+00
9.28000e+00  3.23052e+04  0.00000e+00
9.33000e+00  3.21321e+04  0.00000e+00
9.38000e+00  3.19608e+04  0.00000e+00
9.43000e+00  3.17914e+04  0.00000e+00
