WHT_G
frq          wvl          transmission
[GHz]        [micron]                 
7.88928e+05  3.80000e-01  3.70000e-05
7.87891e+05  3.80500e-01  3.70000e-05
7.86857e+05  3.81000e-01  3.80000e-05
7.85826e+05  3.81500e-01  3.40000e-05
7.84797e+05  3.82000e-01  3.20000e-05
7.83771e+05  3.82500e-01  3.10000e-05
7.82748e+05  3.83000e-01  3.00000e-05
7.81727e+05  3.83500e-01  3.40000e-05
7.80710e+05  3.84000e-01  3.30000e-05
7.79694e+05  3.84500e-01  3.30000e-05
7.78682e+05  3.85000e-01  3.90000e-05
7.77672e+05  3.85500e-01  4.40000e-05
7.76664e+05  3.86000e-01  3.70000e-05
7.75660e+05  3.86500e-01  4.70000e-05
7.74658e+05  3.87000e-01  5.00000e-05
7.73658e+05  3.87500e-01  5.30000e-05
7.72661e+05  3.88000e-01  5.00000e-05
7.71667e+05  3.88500e-01  4.80000e-05
7.70675e+05  3.89000e-01  4.60000e-05
7.69685e+05  3.89500e-01  4.60000e-05
7.68699e+05  3.90000e-01  3.40000e-05
7.67714e+05  3.90500e-01  3.60000e-05
7.66733e+05  3.91000e-01  3.90000e-05
7.65753e+05  3.91500e-01  3.20000e-05
7.64777e+05  3.92000e-01  3.20000e-05
7.63802e+05  3.92500e-01  3.60000e-05
7.62831e+05  3.93000e-01  2.70000e-05
7.61861e+05  3.93500e-01  3.30000e-05
7.60895e+05  3.94000e-01  3.50000e-05
7.59930e+05  3.94500e-01  4.50000e-05
7.58968e+05  3.95000e-01  4.50000e-05
7.58009e+05  3.95500e-01  4.60000e-05
7.57052e+05  3.96000e-01  5.40000e-05
7.56097e+05  3.96500e-01  6.70000e-05
7.55145e+05  3.97000e-01  7.70000e-05
7.54195e+05  3.97500e-01  8.80000e-05
7.53247e+05  3.98000e-01  1.13000e-04
7.52302e+05  3.98500e-01  1.65000e-04
7.51360e+05  3.99000e-01  2.47000e-04
7.50419e+05  3.99500e-01  3.80000e-04
7.49481e+05  4.00000e-01  5.59000e-04
7.48545e+05  4.00500e-01  8.41000e-04
7.47612e+05  4.01000e-01  1.24300e-03
7.46681e+05  4.01500e-01  1.81700e-03
7.45752e+05  4.02000e-01  2.59500e-03
7.44826e+05  4.02500e-01  3.67300e-03
7.43902e+05  4.03000e-01  5.18200e-03
7.42980e+05  4.03500e-01  7.22300e-03
7.42061e+05  4.04000e-01  9.86100e-03
7.41143e+05  4.04500e-01  1.33560e-02
7.40228e+05  4.05000e-01  1.79960e-02
7.39316e+05  4.05500e-01  2.38100e-02
7.38405e+05  4.06000e-01  3.08570e-02
7.37497e+05  4.06500e-01  3.94830e-02
7.36591e+05  4.07000e-01  4.92720e-02
7.35687e+05  4.07500e-01  6.01490e-02
7.34785e+05  4.08000e-01  7.13770e-02
7.33886e+05  4.08500e-01  8.29420e-02
7.32989e+05  4.09000e-01  9.42760e-02
7.32094e+05  4.09500e-01  1.04757e-01
7.31201e+05  4.10000e-01  1.14280e-01
7.30310e+05  4.10500e-01  1.23480e-01
7.29422e+05  4.11000e-01  1.32056e-01
7.28536e+05  4.11500e-01  1.40612e-01
7.27652e+05  4.12000e-01  1.49236e-01
7.26770e+05  4.12500e-01  1.58627e-01
7.25890e+05  4.13000e-01  1.69260e-01
7.25012e+05  4.13500e-01  1.80906e-01
7.24136e+05  4.14000e-01  1.94133e-01
7.23263e+05  4.14500e-01  2.09423e-01
7.22391e+05  4.15000e-01  2.26967e-01
7.21522e+05  4.15500e-01  2.46870e-01
7.20655e+05  4.16000e-01  2.68198e-01
7.19790e+05  4.16500e-01  2.91640e-01
7.18927e+05  4.17000e-01  3.16533e-01
7.18066e+05  4.17500e-01  3.41305e-01
7.17207e+05  4.18000e-01  3.65917e-01
7.16350e+05  4.18500e-01  3.89265e-01
7.15495e+05  4.19000e-01  4.10611e-01
7.14642e+05  4.19500e-01  4.28793e-01
7.13792e+05  4.20000e-01  4.42993e-01
7.12943e+05  4.20500e-01  4.53560e-01
7.12096e+05  4.21000e-01  4.61331e-01
