WHT_H
frq          wvl          transmission
[GHz]        [micron]                 
2.12659e+05  1.40973e+00  3.18873e-02
2.12515e+05  1.41069e+00  3.13853e-02
2.12370e+05  1.41165e+00  3.25905e-02
2.12224e+05  1.41262e+00  3.51119e-02
2.12080e+05  1.41358e+00  3.71029e-02
2.11936e+05  1.41454e+00  3.66448e-02
2.11793e+05  1.41550e+00  3.59148e-02
2.11648e+05  1.41647e+00  3.71713e-02
2.11504e+05  1.41743e+00  3.96955e-02
2.11361e+05  1.41839e+00  4.21371e-02
2.11217e+05  1.41936e+00  4.17301e-02
2.11074e+05  1.42032e+00  4.05128e-02
2.10931e+05  1.42128e+00  4.19048e-02
2.10789e+05  1.42224e+00  4.26493e-02
2.10645e+05  1.42321e+00  4.42472e-02
2.10503e+05  1.42417e+00  4.36491e-02
2.10361e+05  1.42513e+00  4.42245e-02
2.10220e+05  1.42609e+00  4.51904e-02
2.10077e+05  1.42706e+00  4.54179e-02
2.09936e+05  1.42802e+00  4.56477e-02
2.09795e+05  1.42898e+00  4.52253e-02
2.09654e+05  1.42994e+00  4.60131e-02
2.09512e+05  1.43091e+00  4.86857e-02
2.09371e+05  1.43187e+00  4.86801e-02
2.09231e+05  1.43283e+00  4.86775e-02
2.09089e+05  1.43380e+00  4.84057e-02
2.08950e+05  1.43476e+00  4.79931e-02
2.08810e+05  1.43572e+00  4.80006e-02
2.08670e+05  1.43668e+00  4.89073e-02
2.08530e+05  1.43765e+00  4.98192e-02
2.08390e+05  1.43861e+00  4.95252e-02
2.08251e+05  1.43957e+00  4.92014e-02
2.08113e+05  1.44053e+00  4.95280e-02
2.07973e+05  1.44150e+00  4.95943e-02
2.07834e+05  1.44246e+00  5.12585e-02
2.07696e+05  1.44342e+00  5.16756e-02
2.07558e+05  1.44438e+00  5.18073e-02
2.07419e+05  1.44535e+00  5.30585e-02
2.07281e+05  1.44631e+00  5.24480e-02
2.07143e+05  1.44727e+00  5.16937e-02
2.07005e+05  1.44824e+00  5.23384e-02
2.06868e+05  1.44920e+00  5.55381e-02
2.06731e+05  1.45016e+00  5.84799e-02
2.06594e+05  1.45112e+00  5.96943e-02
2.06456e+05  1.45209e+00  6.01578e-02
2.06319e+05  1.45305e+00  6.20236e-02
2.06183e+05  1.45401e+00  6.41599e-02
2.06047e+05  1.45497e+00  6.76816e-02
2.05910e+05  1.45594e+00  7.11144e-02
2.05774e+05  1.45690e+00  7.57851e-02
2.05639e+05  1.45786e+00  8.10389e-02
2.05503e+05  1.45882e+00  8.73783e-02
2.05367e+05  1.45979e+00  9.45106e-02
2.05232e+05  1.46075e+00  1.02794e-01
2.05097e+05  1.46171e+00  1.11045e-01
2.04961e+05  1.46268e+00  1.21829e-01
2.04827e+05  1.46364e+00  1.32947e-01
2.04692e+05  1.46460e+00  1.45123e-01
2.04558e+05  1.46556e+00  1.58977e-01
2.04423e+05  1.46653e+00  1.74162e-01
2.04289e+05  1.46749e+00  1.89949e-01
2.04156e+05  1.46845e+00  2.05237e-01
2.04022e+05  1.46941e+00  2.22462e-01
2.03888e+05  1.47038e+00  2.41897e-01
2.03755e+05  1.47134e+00  2.61432e-01
2.03622e+05  1.47230e+00  2.81573e-01
2.03489e+05  1.47326e+00  3.01431e-01
2.03355e+05  1.47423e+00  3.20457e-01
2.03223e+05  1.47519e+00  3.40201e-01
2.03091e+05  1.47615e+00  3.61497e-01
2.02957e+05  1.47712e+00  3.83739e-01
2.02826e+05  1.47808e+00  4.05719e-01
2.02694e+05  1.47904e+00  4.26501e-01
2.02562e+05  1.48000e+00  4.49330e-01
2.02430e+05  1.48097e+00  4.72200e-01
2.02299e+05  1.48193e+00  4.94382e-01
2.02168e+05  1.48289e+00  5.15594e-01
2.02037e+05  1.48385e+00  5.37502e-01
2.01905e+05  1.48482e+00  5.58299e-01
2.01774e+05  1.48578e+00  5.79674e-01
2.01644e+05  1.48674e+00  6.00538e-01
2.01514e+05  1.48770e+00  6.20369e-01
2.01383e+05  1.48867e+00  6.39368e-01
2.01253e+05  1.48963e+00  6.56933e-01
2.01123e+05  1.49059e+00  6.73080e-01
2.00993e+05  1.49156e+00  6.88609e-01
2.00863e+05  1.49252e+00  7.01338e-01
2.00734e+05  1.49348e+00  7.13826e-01
2.00605e+05  1.49444e+00  7.24861e-01
2.00475e+05  1.49541e+00  7.33395e-01
2.00346e+05  1.49637e+00  7.40515e-01
2.00218e+05  1.49733e+00  7.46834e-01
2.00090e+05  1.49829e+00  7.51055e-01
1.99960e+05  1.49926e+00  7.54498e-01
1.99832e+05  1.50022e+00  7.56628e-01
1.99705e+05  1.50118e+00  7.58544e-01
1.99577e+05  1.50214e+00  7.58935e-01
1.99448e+05  1.50311e+00  7.59643e-01
1.99321e+05  1.50407e+00  7.59555e-01
