WHT_J
frq          wvl          transmission
[GHz]        [micron]                 
2.72291e+05  1.10100e+00  1.37330e-02
2.72140e+05  1.10161e+00  1.34587e-02
2.71992e+05  1.10221e+00  1.32610e-02
2.71842e+05  1.10282e+00  1.35780e-02
2.71691e+05  1.10343e+00  1.31865e-02
2.71544e+05  1.10403e+00  1.29684e-02
2.71394e+05  1.10464e+00  1.30087e-02
2.71246e+05  1.10524e+00  1.38115e-02
2.71097e+05  1.10585e+00  1.28574e-02
2.70950e+05  1.10645e+00  2.17301e-02
2.70801e+05  1.10706e+00  1.81414e-02
2.70654e+05  1.10766e+00  1.23975e-02
2.70505e+05  1.10827e+00  1.35654e-02
2.70359e+05  1.10887e+00  1.33031e-02
2.70210e+05  1.10948e+00  1.32472e-02
2.70061e+05  1.11009e+00  1.31771e-02
2.69916e+05  1.11069e+00  1.33783e-02
2.69767e+05  1.11130e+00  1.36424e-02
2.69622e+05  1.11190e+00  1.35869e-02
2.69474e+05  1.11251e+00  1.36759e-02
2.69329e+05  1.11311e+00  1.34577e-02
2.69181e+05  1.11372e+00  1.32630e-02
2.69036e+05  1.11432e+00  1.33027e-02
2.68889e+05  1.11493e+00  1.39676e-02
2.68744e+05  1.11553e+00  1.39619e-02
2.68598e+05  1.11614e+00  1.33658e-02
2.68451e+05  1.11675e+00  1.35335e-02
2.68307e+05  1.11735e+00  1.34056e-02
2.68160e+05  1.11796e+00  1.36303e-02
2.68016e+05  1.11856e+00  1.37594e-02
2.67870e+05  1.11917e+00  1.35156e-02
2.67727e+05  1.11977e+00  1.36890e-02
2.67581e+05  1.12038e+00  1.38176e-02
2.67438e+05  1.12098e+00  1.41855e-02
2.67292e+05  1.12159e+00  1.43474e-02
2.67147e+05  1.12220e+00  1.41169e-02
2.67004e+05  1.12280e+00  1.39711e-02
2.66859e+05  1.12341e+00  1.42964e-02
2.66717e+05  1.12401e+00  1.44749e-02
2.66572e+05  1.12462e+00  1.42835e-02
2.66430e+05  1.12522e+00  1.41159e-02
2.66286e+05  1.12583e+00  1.41553e-02
2.66144e+05  1.12643e+00  1.44500e-02
2.66000e+05  1.12704e+00  1.42614e-02
2.65858e+05  1.12764e+00  1.46301e-02
2.65715e+05  1.12825e+00  1.48765e-02
2.65571e+05  1.12886e+00  1.47538e-02
2.65430e+05  1.12946e+00  1.43565e-02
2.65287e+05  1.13007e+00  1.48657e-02
