WHT_Ks
frq          wvl          transmission
[GHz]        [micron]                 
1.57649e+05  1.90165e+00  1.78071e-02
1.57569e+05  1.90261e+00  1.68370e-02
1.57489e+05  1.90358e+00  1.74374e-02
1.57409e+05  1.90454e+00  2.01231e-02
1.57330e+05  1.90550e+00  2.28393e-02
1.57251e+05  1.90646e+00  2.09905e-02
1.57171e+05  1.90743e+00  1.76241e-02
1.57092e+05  1.90839e+00  1.49378e-02
1.57013e+05  1.90935e+00  1.57426e-02
1.56934e+05  1.91031e+00  1.61921e-02
1.56854e+05  1.91128e+00  1.76698e-02
1.56776e+05  1.91224e+00  1.99220e-02
1.56697e+05  1.91320e+00  2.08160e-02
1.56618e+05  1.91416e+00  2.04610e-02
1.56539e+05  1.91513e+00  1.91333e-02
1.56461e+05  1.91609e+00  1.71579e-02
1.56382e+05  1.91705e+00  1.53120e-02
1.56303e+05  1.91802e+00  1.49678e-02
1.56225e+05  1.91898e+00  1.67002e-02
1.56147e+05  1.91994e+00  1.97351e-02
1.56069e+05  1.92090e+00  1.94141e-02
1.55990e+05  1.92187e+00  1.70327e-02
1.55912e+05  1.92283e+00  1.58192e-02
1.55834e+05  1.92379e+00  1.56325e-02
1.55757e+05  1.92475e+00  1.56214e-02
1.55678e+05  1.92572e+00  1.55626e-02
1.55601e+05  1.92668e+00  1.63152e-02
1.55523e+05  1.92764e+00  1.71584e-02
1.55446e+05  1.92860e+00  1.72770e-02
1.55367e+05  1.92957e+00  1.70060e-02
1.55290e+05  1.93053e+00  1.66161e-02
1.55213e+05  1.93149e+00  1.61579e-02
1.55135e+05  1.93246e+00  1.57955e-02
1.55058e+05  1.93342e+00  1.55781e-02
1.54981e+05  1.93438e+00  1.52297e-02
1.54904e+05  1.93534e+00  1.53773e-02
1.54827e+05  1.93631e+00  1.57633e-02
1.54750e+05  1.93727e+00  1.65639e-02
1.54673e+05  1.93823e+00  1.73926e-02
1.54597e+05  1.93919e+00  1.79378e-02
1.54519e+05  1.94016e+00  1.86359e-02
1.54443e+05  1.94112e+00  1.71506e-02
1.54367e+05  1.94208e+00  1.65660e-02
1.54290e+05  1.94304e+00  1.67865e-02
1.54213e+05  1.94401e+00  1.70020e-02
1.54137e+05  1.94497e+00  1.74241e-02
1.54061e+05  1.94593e+00  1.76690e-02
1.53985e+05  1.94690e+00  1.80195e-02
1.53909e+05  1.94786e+00  1.85494e-02
1.53833e+05  1.94882e+00  1.88246e-02
1.53757e+05  1.94978e+00  1.94497e-02
1.53681e+05  1.95075e+00  1.95238e-02
1.53605e+05  1.95171e+00  2.02681e-02
1.53530e+05  1.95267e+00  2.13516e-02
1.53454e+05  1.95363e+00  2.22736e-02
1.53378e+05  1.95460e+00  2.34446e-02
1.53303e+05  1.95556e+00  2.43990e-02
1.53227e+05  1.95652e+00  2.53116e-02
1.53152e+05  1.95748e+00  2.66219e-02
1.53076e+05  1.95845e+00  2.78872e-02
1.53001e+05  1.95941e+00  2.92713e-02
1.52926e+05  1.96037e+00  3.08436e-02
1.52852e+05  1.96133e+00  3.25990e-02
1.52776e+05  1.96230e+00  3.47753e-02
1.52701e+05  1.96326e+00  3.70642e-02
1.52627e+05  1.96422e+00  3.93964e-02
1.52551e+05  1.96519e+00  4.19657e-02
1.52477e+05  1.96615e+00  4.46747e-02
1.52402e+05  1.96711e+00  4.79975e-02
1.52328e+05  1.96807e+00  5.17414e-02
1.52253e+05  1.96904e+00  5.58536e-02
1.52179e+05  1.97000e+00  6.03264e-02
1.52105e+05  1.97096e+00  6.55349e-02
1.52031e+05  1.97192e+00  7.14869e-02
1.51956e+05  1.97289e+00  7.77576e-02
1.51882e+05  1.97385e+00  8.48005e-02
1.51808e+05  1.97481e+00  9.25348e-02
1.51734e+05  1.97578e+00  1.01279e-01
1.51660e+05  1.97674e+00  1.11002e-01
1.51586e+05  1.97770e+00  1.21261e-01
1.51513e+05  1.97866e+00  1.32847e-01
1.51439e+05  1.97963e+00  1.46067e-01
1.51365e+05  1.98059e+00  1.60718e-01
1.51292e+05  1.98155e+00  1.76215e-01
1.51219e+05  1.98251e+00  1.93124e-01
1.51145e+05  1.98348e+00  2.11599e-01
1.51072e+05  1.98444e+00  2.31658e-01
1.50999e+05  1.98540e+00  2.53059e-01
1.50926e+05  1.98636e+00  2.75870e-01
1.50852e+05  1.98733e+00  3.01859e-01
1.50779e+05  1.98829e+00  3.27677e-01
1.50706e+05  1.98925e+00  3.54515e-01
1.50634e+05  1.99021e+00  3.82827e-01
1.50560e+05  1.99118e+00  4.12537e-01
1.50488e+05  1.99214e+00  4.43069e-01
1.50415e+05  1.99310e+00  4.72839e-01
1.50342e+05  1.99407e+00  5.03908e-01
1.50270e+05  1.99503e+00  5.34490e-01
1.50197e+05  1.99599e+00  5.64149e-01
1.50125e+05  1.99695e+00  5.93826e-01
1.50052e+05  1.99792e+00  6.22301e-01
1.49980e+05  1.99888e+00  6.49733e-01
1.49908e+05  1.99984e+00  6.76058e-01
1.49836e+05  2.00080e+00  7.00241e-01
1.49764e+05  2.00177e+00  7.21342e-01
1.49692e+05  2.00273e+00  7.43929e-01
1.49620e+05  2.00369e+00  7.64389e-01
1.49549e+05  2.00465e+00  7.81515e-01
1.49476e+05  2.00562e+00  7.96984e-01
1.49405e+05  2.00658e+00  8.10578e-01
1.49333e+05  2.00754e+00  8.22483e-01
1.49261e+05  2.00851e+00  8.32092e-01
1.49190e+05  2.00947e+00  8.40473e-01
1.49119e+05  2.01043e+00  8.46771e-01
1.49047e+05  2.01139e+00  8.53225e-01
1.48976e+05  2.01236e+00  8.58256e-01
1.48905e+05  2.01332e+00  8.60753e-01
1.48834e+05  2.01428e+00  8.62244e-01
1.48763e+05  2.01524e+00  8.62789e-01
1.48691e+05  2.01621e+00  8.64218e-01
1.48620e+05  2.01717e+00  8.63608e-01
1.48550e+05  2.01813e+00  8.62703e-01
1.48479e+05  2.01909e+00  8.61795e-01
1.48408e+05  2.02006e+00  8.60518e-01
1.48337e+05  2.02102e+00  8.58115e-01
1.48267e+05  2.02198e+00  8.56350e-01
1.48196e+05  2.02295e+00  8.54508e-01
1.48125e+05  2.02391e+00  8.52059e-01
1.48055e+05  2.02487e+00  8.50254e-01
1.47985e+05  2.02583e+00  8.47855e-01
1.47914e+05  2.02680e+00  8.45817e-01
1.47844e+05  2.02776e+00  8.43858e-01
1.47774e+05  2.02872e+00  8.42747e-01
1.47704e+05  2.02968e+00  8.41082e-01
1.47634e+05  2.03065e+00  8.40267e-01
1.47564e+05  2.03161e+00  8.38812e-01
1.47494e+05  2.03257e+00  8.38293e-01
1.47425e+05  2.03353e+00  8.37949e-01
1.47354e+05  2.03450e+00  8.36997e-01
1.47285e+05  2.03546e+00  8.36553e-01
1.47215e+05  2.03642e+00  8.36645e-01
1.47145e+05  2.03739e+00  8.37156e-01
1.47076e+05  2.03835e+00  8.38259e-01
1.47007e+05  2.03931e+00  8.39033e-01
1.46938e+05  2.04027e+00  8.41295e-01
1.46868e+05  2.04124e+00  8.42371e-01
1.46799e+05  2.04220e+00  8.43755e-01
1.46730e+05  2.04316e+00  8.44819e-01
1.46661e+05  2.04412e+00  8.47556e-01
1.46591e+05  2.04509e+00  8.49499e-01
1.46523e+05  2.04605e+00  8.51806e-01
1.46454e+05  2.04701e+00  8.54167e-01
1.46385e+05  2.04797e+00  8.56820e-01
1.46316e+05  2.04894e+00  8.58948e-01
1.46247e+05  2.04990e+00  8.60955e-01
1.46179e+05  2.05086e+00  8.63161e-01
1.46110e+05  2.05183e+00  8.66389e-01
1.46041e+05  2.05279e+00  8.68746e-01
1.45973e+05  2.05375e+00  8.70799e-01
1.45905e+05  2.05471e+00  8.73357e-01
1.45836e+05  2.05568e+00  8.75531e-01
1.45768e+05  2.05664e+00  8.77978e-01
1.45700e+05  2.05760e+00  8.80537e-01
1.45632e+05  2.05856e+00  8.83489e-01
1.45564e+05  2.05953e+00  8.84825e-01
1.45496e+05  2.06049e+00  8.86610e-01
1.45428e+05  2.06145e+00  8.88889e-01
1.45360e+05  2.06241e+00  8.90571e-01
1.45292e+05  2.06338e+00  8.91631e-01
1.45224e+05  2.06434e+00  8.92947e-01
1.45157e+05  2.06530e+00  8.95201e-01
1.45089e+05  2.06627e+00  8.95848e-01
1.45021e+05  2.06723e+00  8.96672e-01
