WHT_R
frq          wvl          transmission
[GHz]        [micron]                 
5.99585e+05  5.00000e-01  9.00000e-06
5.98986e+05  5.00500e-01  1.20000e-05
5.98388e+05  5.01000e-01  2.00000e-05
5.97792e+05  5.01500e-01  1.80000e-05
5.97196e+05  5.02000e-01  8.00000e-06
5.96602e+05  5.02500e-01  1.30000e-05
5.96009e+05  5.03000e-01  1.30000e-05
5.95417e+05  5.03500e-01  1.40000e-05
5.94826e+05  5.04000e-01  7.00000e-06
5.94237e+05  5.04500e-01  9.00000e-06
5.93648e+05  5.05000e-01  6.00000e-06
5.93061e+05  5.05500e-01  1.00000e-05
5.92475e+05  5.06000e-01  1.00000e-05
5.91890e+05  5.06500e-01  1.00000e-05
5.91307e+05  5.07000e-01  5.00000e-06
5.90724e+05  5.07500e-01  9.00000e-06
5.90143e+05  5.08000e-01  1.10000e-05
5.89562e+05  5.08500e-01  1.00000e-05
5.88983e+05  5.09000e-01  1.10000e-05
5.88405e+05  5.09500e-01  7.00000e-06
5.87828e+05  5.10000e-01  8.00000e-06
5.87253e+05  5.10500e-01  1.00000e-05
5.86678e+05  5.11000e-01  8.00000e-06
5.86105e+05  5.11500e-01  4.00000e-06
5.85532e+05  5.12000e-01  7.00000e-06
5.84961e+05  5.12500e-01  7.00000e-06
5.84391e+05  5.13000e-01  6.00000e-06
5.83822e+05  5.13500e-01  1.40000e-05
5.83254e+05  5.14000e-01  5.00000e-06
5.82687e+05  5.14500e-01  6.00000e-06
5.82121e+05  5.15000e-01  9.00000e-06
5.81557e+05  5.15500e-01  1.30000e-05
5.80993e+05  5.16000e-01  5.00000e-06
5.80431e+05  5.16500e-01  8.00000e-06
5.79869e+05  5.17000e-01  3.00000e-06
5.79309e+05  5.17500e-01  2.00000e-06
5.78750e+05  5.18000e-01  4.00000e-06
5.78192e+05  5.18500e-01  -1.00000e-06
5.77635e+05  5.19000e-01  4.00000e-06
5.77079e+05  5.19500e-01  3.00000e-06
5.76524e+05  5.20000e-01  -4.00000e-06
5.75970e+05  5.20500e-01  -3.00000e-06
5.75417e+05  5.21000e-01  3.00000e-06
5.74866e+05  5.21500e-01  2.00000e-06
5.74315e+05  5.22000e-01  7.00000e-06
5.73765e+05  5.22500e-01  6.00000e-06
5.73217e+05  5.23000e-01  1.30000e-05
5.72669e+05  5.23500e-01  7.00000e-06
5.72123e+05  5.24000e-01  1.10000e-05
5.71578e+05  5.24500e-01  4.00000e-06
5.71033e+05  5.25000e-01  8.00000e-06
5.70490e+05  5.25500e-01  1.40000e-05
5.69948e+05  5.26000e-01  1.20000e-05
5.69406e+05  5.26500e-01  1.00000e-05
5.68866e+05  5.27000e-01  1.50000e-05
5.68327e+05  5.27500e-01  1.30000e-05
5.67789e+05  5.28000e-01  9.00000e-06
5.67252e+05  5.28500e-01  1.10000e-05
5.66715e+05  5.29000e-01  8.00000e-06
5.66180e+05  5.29500e-01  8.00000e-06
5.65646e+05  5.30000e-01  5.00000e-06
5.65113e+05  5.30500e-01  7.00000e-06
5.64581e+05  5.31000e-01  9.00000e-06
5.64050e+05  5.31500e-01  -1.00000e-06
5.63520e+05  5.32000e-01  8.00000e-06
5.62991e+05  5.32500e-01  1.00000e-05
5.62462e+05  5.33000e-01  9.00000e-06
5.61935e+05  5.33500e-01  9.00000e-06
5.61409e+05  5.34000e-01  7.00000e-06
5.60884e+05  5.34500e-01  4.00000e-06
5.60360e+05  5.35000e-01  5.00000e-06
5.59837e+05  5.35500e-01  4.00000e-07
5.59314e+05  5.36000e-01  -2.00000e-06
5.58793e+05  5.36500e-01  -4.00000e-07
5.58273e+05  5.37000e-01  1.00000e-06
5.57753e+05  5.37500e-01  -1.00000e-06
5.57235e+05  5.38000e-01  3.00000e-06
5.56718e+05  5.38500e-01  1.00000e-06
5.56201e+05  5.39000e-01  4.00000e-06
5.55686e+05  5.39500e-01  7.00000e-06
5.55171e+05  5.40000e-01  4.00000e-06
5.54658e+05  5.40500e-01  1.00000e-05
5.54145e+05  5.41000e-01  9.00000e-06
5.53633e+05  5.41500e-01  1.00000e-05
5.53123e+05  5.42000e-01  1.10000e-05
5.52613e+05  5.42500e-01  1.10000e-05
5.52104e+05  5.43000e-01  1.20000e-05
5.51596e+05  5.43500e-01  8.00000e-06
5.51089e+05  5.44000e-01  8.00000e-06
5.50583e+05  5.44500e-01  1.10000e-05
5.50078e+05  5.45000e-01  1.10000e-05
5.49574e+05  5.45500e-01  1.20000e-05
5.49070e+05  5.46000e-01  1.10000e-05
5.48568e+05  5.46500e-01  1.70000e-05
5.48067e+05  5.47000e-01  1.90000e-05
5.47566e+05  5.47500e-01  2.70000e-05
5.47067e+05  5.48000e-01  2.90000e-05
5.46568e+05  5.48500e-01  3.60000e-05
5.46070e+05  5.49000e-01  4.80000e-05
5.45573e+05  5.49500e-01  6.70000e-05
5.45077e+05  5.50000e-01  8.70000e-05
5.44582e+05  5.50500e-01  1.27000e-04
5.44088e+05  5.51000e-01  1.80000e-04
5.43595e+05  5.51500e-01  2.59000e-04
5.43102e+05  5.52000e-01  3.60000e-04
5.42611e+05  5.52500e-01  5.19000e-04
5.42120e+05  5.53000e-01  7.31000e-04
5.41630e+05  5.53500e-01  1.04800e-03
5.41142e+05  5.54000e-01  1.49100e-03
5.40654e+05  5.54500e-01  2.09200e-03
