WHT_U
frq          wvl          transmission
[GHz]        [micron]                 
1.19917e+06  2.50000e-01  3.00000e-06
1.19439e+06  2.51000e-01  1.00000e-06
1.18965e+06  2.52000e-01  1.00000e-06
1.18495e+06  2.53000e-01  1.00000e-06
1.18029e+06  2.54000e-01  2.00000e-06
1.17566e+06  2.55000e-01  2.00000e-06
1.17106e+06  2.56000e-01  8.00000e-06
1.16651e+06  2.57000e-01  5.00000e-06
1.16199e+06  2.58000e-01  7.00000e-06
1.15750e+06  2.59000e-01  1.00000e-06
1.15305e+06  2.60000e-01  1.10000e-05
1.14863e+06  2.61000e-01  3.00000e-06
1.14425e+06  2.62000e-01  1.00000e-05
1.13990e+06  2.63000e-01  7.00000e-06
1.13558e+06  2.64000e-01  7.00000e-06
1.13129e+06  2.65000e-01  3.00000e-06
1.12704e+06  2.66000e-01  6.00000e-06
1.12282e+06  2.67000e-01  8.00000e-06
1.11863e+06  2.68000e-01  3.00000e-06
1.11447e+06  2.69000e-01  5.00000e-06
1.11034e+06  2.70000e-01  9.00000e-06
1.10625e+06  2.71000e-01  9.00000e-06
1.10218e+06  2.72000e-01  3.00000e-06
1.09814e+06  2.73000e-01  1.00000e-06
1.09413e+06  2.74000e-01  -1.00000e-06
1.09015e+06  2.75000e-01  -2.00000e-06
1.08620e+06  2.76000e-01  -1.00000e-06
1.08228e+06  2.77000e-01  4.00000e-06
1.07839e+06  2.78000e-01  0.00000e+00
1.07452e+06  2.79000e-01  1.00000e-06
1.07069e+06  2.80000e-01  -2.00000e-06
1.06688e+06  2.81000e-01  -4.00000e-06
1.06309e+06  2.82000e-01  6.00000e-06
1.05934e+06  2.83000e-01  1.10000e-05
1.05561e+06  2.84000e-01  2.90000e-05
1.05190e+06  2.85000e-01  4.70000e-05
1.04823e+06  2.86000e-01  8.20000e-05
1.04457e+06  2.87000e-01  1.53000e-04
1.04095e+06  2.88000e-01  2.67000e-04
1.03734e+06  2.89000e-01  4.29000e-04
1.03377e+06  2.90000e-01  6.94000e-04
1.03021e+06  2.91000e-01  1.07700e-03
1.02669e+06  2.92000e-01  1.65800e-03
1.02318e+06  2.93000e-01  2.50700e-03
1.01970e+06  2.94000e-01  3.70800e-03
1.01625e+06  2.95000e-01  5.39900e-03
1.01281e+06  2.96000e-01  7.64100e-03
1.00940e+06  2.97000e-01  1.04780e-02
1.00601e+06  2.98000e-01  1.43380e-02
1.00265e+06  2.99000e-01  1.91690e-02
9.99308e+05  3.00000e-01  2.49420e-02
9.95988e+05  3.01000e-01  3.16380e-02
9.92690e+05  3.02000e-01  3.93780e-02
9.89414e+05  3.03000e-01  4.78810e-02
9.86159e+05  3.04000e-01  5.76220e-02
9.82926e+05  3.05000e-01  6.77920e-02
9.79714e+05  3.06000e-01  7.90760e-02
9.76523e+05  3.07000e-01  9.14140e-02
9.73352e+05  3.08000e-01  9.60610e-02
9.70202e+05  3.09000e-01  1.16325e-01
9.67072e+05  3.10000e-01  1.30167e-01
9.63963e+05  3.11000e-01  1.43705e-01
9.60873e+05  3.12000e-01  1.57626e-01
9.57803e+05  3.13000e-01  1.71784e-01
9.54753e+05  3.14000e-01  1.86062e-01
9.51722e+05  3.15000e-01  1.98995e-01
9.48710e+05  3.16000e-01  2.13474e-01
9.45718e+05  3.17000e-01  2.26930e-01
9.42744e+05  3.18000e-01  2.39848e-01
9.39788e+05  3.19000e-01  2.53578e-01
9.36851e+05  3.20000e-01  2.66835e-01
9.33933e+05  3.21000e-01  2.79235e-01
9.31032e+05  3.22000e-01  2.92613e-01
9.28150e+05  3.23000e-01  3.05086e-01
9.25285e+05  3.24000e-01  3.17000e-01
9.22438e+05  3.25000e-01  3.29363e-01
9.19609e+05  3.26000e-01  3.40421e-01
9.16797e+05  3.27000e-01  3.51518e-01
9.14001e+05  3.28000e-01  3.63921e-01
9.11223e+05  3.29000e-01  3.74086e-01
9.08462e+05  3.30000e-01  3.84639e-01
9.05717e+05  3.31000e-01  3.95213e-01
9.02989e+05  3.32000e-01  4.04701e-01
9.00278e+05  3.33000e-01  4.13725e-01
8.97582e+05  3.34000e-01  4.24060e-01
8.94903e+05  3.35000e-01  4.33108e-01
8.92239e+05  3.36000e-01  4.40694e-01
8.89592e+05  3.37000e-01  4.50581e-01
8.86960e+05  3.38000e-01  4.57922e-01
8.84344e+05  3.39000e-01  4.65346e-01
8.81743e+05  3.40000e-01  4.74259e-01
8.79157e+05  3.41000e-01  4.81060e-01
8.76586e+05  3.42000e-01  4.88114e-01
8.74030e+05  3.43000e-01  4.96568e-01
8.71490e+05  3.44000e-01  5.03715e-01
8.68964e+05  3.45000e-01  5.10950e-01
8.66452e+05  3.46000e-01  5.18548e-01
8.63955e+05  3.47000e-01  5.26121e-01
8.61473e+05  3.48000e-01  5.31119e-01
8.59004e+05  3.49000e-01  5.39310e-01
8.56550e+05  3.50000e-01  5.45666e-01
8.54110e+05  3.51000e-01  5.50807e-01
8.51683e+05  3.52000e-01  5.56477e-01
8.49270e+05  3.53000e-01  5.62052e-01
8.46871e+05  3.54000e-01  5.67030e-01
8.44486e+05  3.55000e-01  5.71516e-01
8.42114e+05  3.56000e-01  5.76044e-01
8.39755e+05  3.57000e-01  5.79982e-01
8.37409e+05  3.58000e-01  5.83695e-01
8.35076e+05  3.59000e-01  5.87977e-01
8.32757e+05  3.60000e-01  5.90675e-01
8.30450e+05  3.61000e-01  5.93784e-01
8.28156e+05  3.62000e-01  5.96429e-01
8.25875e+05  3.63000e-01  5.96851e-01
8.23606e+05  3.64000e-01  5.98195e-01
8.21349e+05  3.65000e-01  5.98569e-01
8.19105e+05  3.66000e-01  5.97033e-01
8.16873e+05  3.67000e-01  5.94905e-01
8.14653e+05  3.68000e-01  5.94624e-01
8.12446e+05  3.69000e-01  5.88494e-01
8.10250e+05  3.70000e-01  5.82231e-01
8.08066e+05  3.71000e-01  5.76709e-01
8.05894e+05  3.72000e-01  5.69105e-01
8.03733e+05  3.73000e-01  5.58838e-01
8.01584e+05  3.74000e-01  5.49197e-01
7.99447e+05  3.75000e-01  5.37182e-01
7.97320e+05  3.76000e-01  5.22590e-01
7.95205e+05  3.77000e-01  5.07784e-01
7.93102e+05  3.78000e-01  4.89975e-01
7.91009e+05  3.79000e-01  4.70230e-01
7.88928e+05  3.80000e-01  4.49426e-01
7.86857e+05  3.81000e-01  4.26642e-01
7.84797e+05  3.82000e-01  4.00962e-01
7.82748e+05  3.83000e-01  3.75097e-01
7.80710e+05  3.84000e-01  3.48427e-01
7.78682e+05  3.85000e-01  3.19285e-01
7.76664e+05  3.86000e-01  2.90567e-01
7.74658e+05  3.87000e-01  2.61548e-01
7.72661e+05  3.88000e-01  2.31765e-01
7.70675e+05  3.89000e-01  2.04156e-01
7.68699e+05  3.90000e-01  1.76884e-01
7.66733e+05  3.91000e-01  1.51100e-01
7.64777e+05  3.92000e-01  1.27316e-01
7.62831e+05  3.93000e-01  1.05947e-01
7.60895e+05  3.94000e-01  8.62990e-02
7.58968e+05  3.95000e-01  6.93300e-02
7.57052e+05  3.96000e-01  5.47250e-02
7.55145e+05  3.97000e-01  4.23940e-02
7.53247e+05  3.98000e-01  3.23450e-02
7.51360e+05  3.99000e-01  2.42250e-02
7.49481e+05  4.00000e-01  1.76240e-02
7.47612e+05  4.01000e-01  1.27300e-02
7.45752e+05  4.02000e-01  9.01100e-03
7.43902e+05  4.03000e-01  6.22100e-03
7.42061e+05  4.04000e-01  4.20600e-03
7.40228e+05  4.05000e-01  2.80700e-03
7.38405e+05  4.06000e-01  1.84000e-03
7.36591e+05  4.07000e-01  1.17700e-03
7.34785e+05  4.08000e-01  7.50000e-04
7.32989e+05  4.09000e-01  4.54000e-04
7.31201e+05  4.10000e-01  2.83000e-04
7.29422e+05  4.11000e-01  1.70000e-04
7.27652e+05  4.12000e-01  9.20000e-05
7.25890e+05  4.13000e-01  4.90000e-05
7.24136e+05  4.14000e-01  2.70000e-05
7.22391e+05  4.15000e-01  2.00000e-05
7.20655e+05  4.16000e-01  7.00000e-06
7.18927e+05  4.17000e-01  7.00000e-06
7.17207e+05  4.18000e-01  5.00000e-06
7.15495e+05  4.19000e-01  -3.00000e-06
7.13792e+05  4.20000e-01  1.00000e-06
7.12096e+05  4.21000e-01  -1.00000e-06
7.10409e+05  4.22000e-01  -1.00000e-06
7.08729e+05  4.23000e-01  3.00000e-06
7.07058e+05  4.24000e-01  -2.00000e-06
7.05394e+05  4.25000e-01  -2.00000e-06
7.03738e+05  4.26000e-01  -2.00000e-06
7.02090e+05  4.27000e-01  -3.00000e-06
7.00450e+05  4.28000e-01  -6.00000e-06
6.98817e+05  4.29000e-01  -4.00000e-06
6.97192e+05  4.30000e-01  -3.00000e-06
6.95574e+05  4.31000e-01  -3.00000e-06
6.93964e+05  4.32000e-01  1.00000e-06
6.92361e+05  4.33000e-01  -6.00000e-06
6.90766e+05  4.34000e-01  -7.00000e-06
6.89178e+05  4.35000e-01  -9.00000e-06
6.87597e+05  4.36000e-01  2.00000e-06
6.86024e+05  4.37000e-01  2.00000e-06
6.84458e+05  4.38000e-01  -5.00000e-06
6.82899e+05  4.39000e-01  -7.00000e-06
6.81346e+05  4.40000e-01  -4.00000e-06
6.79801e+05  4.41000e-01  -2.00000e-06
6.78263e+05  4.42000e-01  -8.00000e-06
6.76732e+05  4.43000e-01  2.00000e-06
6.75208e+05  4.44000e-01  -1.00000e-06
6.73691e+05  4.45000e-01  -7.00000e-06
6.72180e+05  4.46000e-01  0.00000e+00
6.70677e+05  4.47000e-01  -3.00000e-06
6.69180e+05  4.48000e-01  -4.00000e-06
6.67689e+05  4.49000e-01  0.00000e+00
6.66205e+05  4.50000e-01  -2.00000e-06
