WHT_Z
frq          wvl          transmission
[GHz]        [micron]                 
3.15290e+05  9.50847e-01  2.36686e-03
3.15089e+05  9.51453e-01  2.71642e-03
3.14889e+05  9.52058e-01  2.74274e-03
3.14689e+05  9.52664e-01  2.67276e-03
3.14489e+05  9.53269e-01  2.51603e-03
3.14289e+05  9.53875e-01  2.64338e-03
3.14090e+05  9.54480e-01  3.03175e-03
3.13891e+05  9.55086e-01  2.82454e-03
3.13692e+05  9.55691e-01  3.11420e-03
3.13493e+05  9.56297e-01  2.93985e-03
3.13295e+05  9.56902e-01  2.64350e-03
3.13097e+05  9.57507e-01  2.85739e-03
3.12899e+05  9.58113e-01  2.84506e-03
3.12701e+05  9.58718e-01  3.13748e-03
3.12504e+05  9.59324e-01  3.62494e-03
3.12307e+05  9.59929e-01  3.31395e-03
3.12110e+05  9.60535e-01  3.43129e-03
3.11913e+05  9.61140e-01  3.18557e-03
3.11717e+05  9.61746e-01  3.49088e-03
3.11521e+05  9.62351e-01  3.36356e-03
3.11325e+05  9.62957e-01  3.78465e-03
3.11129e+05  9.63562e-01  3.79000e-03
3.10934e+05  9.64168e-01  3.94682e-03
3.10739e+05  9.64773e-01  4.21106e-03
3.10544e+05  9.65379e-01  3.97468e-03
3.10349e+05  9.65984e-01  4.09700e-03
3.10155e+05  9.66589e-01  4.32713e-03
3.09961e+05  9.67195e-01  4.32489e-03
3.09767e+05  9.67800e-01  4.67284e-03
3.09573e+05  9.68406e-01  4.56356e-03
3.09380e+05  9.69011e-01  5.27919e-03
3.09186e+05  9.69617e-01  2.92755e-03
3.08994e+05  9.70222e-01  1.68804e-02
3.08801e+05  9.70828e-01  8.90870e-03
3.08608e+05  9.71433e-01  4.91971e-03
3.08416e+05  9.72039e-01  5.21105e-03
3.08224e+05  9.72644e-01  5.32651e-03
3.08032e+05  9.73250e-01  5.54223e-03
3.07841e+05  9.73855e-01  5.75780e-03
3.07650e+05  9.74461e-01  5.77036e-03
3.07459e+05  9.75066e-01  6.04150e-03
3.07268e+05  9.75671e-01  6.22243e-03
3.07077e+05  9.76277e-01  6.28430e-03
3.06887e+05  9.76882e-01  6.11053e-03
3.06697e+05  9.77488e-01  6.86109e-03
3.06507e+05  9.78093e-01  6.76320e-03
3.06317e+05  9.78699e-01  6.82022e-03
3.06128e+05  9.79304e-01  7.04372e-03
3.05939e+05  9.79910e-01  7.42766e-03
3.05750e+05  9.80515e-01  7.70607e-03
3.05561e+05  9.81121e-01  7.88713e-03
3.05373e+05  9.81726e-01  7.99680e-03
3.05184e+05  9.82332e-01  8.26420e-03
3.04997e+05  9.82937e-01  8.68883e-03
3.04809e+05  9.83543e-01  9.20262e-03
3.04621e+05  9.84148e-01  9.40020e-03
3.04434e+05  9.84753e-01  9.68751e-03
3.04247e+05  9.85359e-01  1.02601e-02
3.04060e+05  9.85964e-01  1.07737e-02
3.03873e+05  9.86570e-01  1.15733e-02
3.03687e+05  9.87175e-01  1.21274e-02
3.03501e+05  9.87781e-01  1.26133e-02
3.03315e+05  9.88386e-01  1.33885e-02
3.03129e+05  9.88992e-01  1.42986e-02
3.02944e+05  9.89597e-01  1.49659e-02
3.02759e+05  9.90203e-01  1.62158e-02
3.02574e+05  9.90808e-01  1.74042e-02
3.02389e+05  9.91414e-01  1.87718e-02
3.02204e+05  9.92019e-01  1.99497e-02
3.02020e+05  9.92625e-01  2.18800e-02
3.01836e+05  9.93230e-01  2.30886e-02
3.01652e+05  9.93836e-01  2.50115e-02
3.01468e+05  9.94441e-01  2.74559e-02
3.01285e+05  9.95046e-01  2.94942e-02
3.01102e+05  9.95652e-01  3.26243e-02
3.00919e+05  9.96257e-01  3.56993e-02
3.00736e+05  9.96863e-01  3.90265e-02
3.00553e+05  9.97468e-01  4.29338e-02
3.00371e+05  9.98074e-01  4.75487e-02
3.00189e+05  9.98679e-01  5.32702e-02
3.00007e+05  9.99285e-01  6.09182e-02
2.99825e+05  9.99890e-01  6.60901e-02
2.99643e+05  1.00050e+00  7.40848e-02
2.99463e+05  1.00110e+00  8.30982e-02
2.99281e+05  1.00171e+00  9.35053e-02
2.99102e+05  1.00231e+00  1.06256e-01
2.98920e+05  1.00292e+00  1.21065e-01
2.98741e+05  1.00352e+00  1.34215e-01
2.98559e+05  1.00413e+00  1.52128e-01
2.98381e+05  1.00473e+00  1.72202e-01
2.98200e+05  1.00534e+00  1.94377e-01
2.98022e+05  1.00594e+00  2.19266e-01
2.97842e+05  1.00655e+00  2.47808e-01
2.97661e+05  1.00716e+00  2.76236e-01
2.97484e+05  1.00776e+00  3.04987e-01
2.97304e+05  1.00837e+00  3.38468e-01
2.97127e+05  1.00897e+00  3.72135e-01
2.96948e+05  1.00958e+00  4.05069e-01
2.96771e+05  1.01018e+00  4.37037e-01
2.96592e+05  1.01079e+00  4.67711e-01
2.96416e+05  1.01139e+00  4.95197e-01
2.96238e+05  1.01200e+00  5.19252e-01
2.96059e+05  1.01261e+00  5.41203e-01
2.95884e+05  1.01321e+00  5.58714e-01
2.95706e+05  1.01382e+00  5.72061e-01
2.95531e+05  1.01442e+00  5.83691e-01
2.95353e+05  1.01503e+00  5.86731e-01
2.95179e+05  1.01563e+00  5.89075e-01
2.95002e+05  1.01624e+00  5.90529e-01
2.94828e+05  1.01684e+00  5.88092e-01
2.94651e+05  1.01745e+00  5.85237e-01
2.94477e+05  1.01805e+00  5.81023e-01
2.94301e+05  1.01866e+00  5.77595e-01
2.94125e+05  1.01927e+00  5.72587e-01
2.93952e+05  1.01987e+00  5.67893e-01
2.93776e+05  1.02048e+00  5.65811e-01
2.93603e+05  1.02108e+00  5.63255e-01
2.93428e+05  1.02169e+00  5.61147e-01
2.93256e+05  1.02229e+00  5.61008e-01
2.93081e+05  1.02290e+00  5.60987e-01
2.92909e+05  1.02350e+00  5.61849e-01
2.92735e+05  1.02411e+00  5.63519e-01
2.92563e+05  1.02471e+00  5.66042e-01
2.92389e+05  1.02532e+00  5.68796e-01
2.92215e+05  1.02593e+00  5.73179e-01
2.92045e+05  1.02653e+00  5.75507e-01
2.91871e+05  1.02714e+00  5.79441e-01
2.91701e+05  1.02774e+00  5.81012e-01
2.91528e+05  1.02835e+00  5.83442e-01
2.91358e+05  1.02895e+00  5.85279e-01
2.91185e+05  1.02956e+00  5.84307e-01
2.91015e+05  1.03016e+00  5.82371e-01
2.90843e+05  1.03077e+00  5.79827e-01
2.90674e+05  1.03137e+00  5.76625e-01
2.90502e+05  1.03198e+00  5.74019e-01
2.90331e+05  1.03259e+00  5.70777e-01
2.90162e+05  1.03319e+00  5.67025e-01
2.89991e+05  1.03380e+00  5.66666e-01
2.89823e+05  1.03440e+00  5.57791e-01
2.89652e+05  1.03501e+00  5.55517e-01
2.89484e+05  1.03561e+00  5.52701e-01
2.89314e+05  1.03622e+00  5.50006e-01
2.89146e+05  1.03682e+00  5.49690e-01
2.88976e+05  1.03743e+00  5.50264e-01
2.88809e+05  1.03803e+00  5.52232e-01
2.88639e+05  1.03864e+00  5.53258e-01
2.88470e+05  1.03925e+00  5.56805e-01
2.88304e+05  1.03985e+00  5.57955e-01
2.88135e+05  1.04046e+00  5.72213e-01
2.87968e+05  1.04106e+00  5.80797e-01
2.87800e+05  1.04167e+00  5.76312e-01
2.87634e+05  1.04227e+00  5.84191e-01
2.87466e+05  1.04288e+00  5.89261e-01
2.87301e+05  1.04348e+00  5.95111e-01
2.87133e+05  1.04409e+00  6.01798e-01
2.86968e+05  1.04469e+00  6.07859e-01
2.86800e+05  1.04530e+00  6.12803e-01
2.86633e+05  1.04591e+00  6.17885e-01
2.86469e+05  1.04651e+00  6.20740e-01
2.86302e+05  1.04712e+00  6.22248e-01
2.86138e+05  1.04772e+00  6.22447e-01
2.85971e+05  1.04833e+00  6.21722e-01
2.85808e+05  1.04893e+00  6.18704e-01
2.85642e+05  1.04954e+00  6.13680e-01
2.85479e+05  1.05014e+00  6.06650e-01
2.85313e+05  1.05075e+00  5.96559e-01
2.85147e+05  1.05136e+00  5.85681e-01
2.84985e+05  1.05196e+00  5.71166e-01
2.84819e+05  1.05257e+00  5.54554e-01
2.84657e+05  1.05317e+00  5.34280e-01
2.84492e+05  1.05378e+00  5.11189e-01
2.84331e+05  1.05438e+00  4.87363e-01
2.84166e+05  1.05499e+00  4.61273e-01
2.84005e+05  1.05559e+00  4.34003e-01
2.83841e+05  1.05620e+00  4.05246e-01
2.83679e+05  1.05680e+00  3.75555e-01
2.83516e+05  1.05741e+00  3.47344e-01
2.83352e+05  1.05802e+00  3.19551e-01
2.83192e+05  1.05862e+00  2.92008e-01
2.83029e+05  1.05923e+00  2.66364e-01
2.82868e+05  1.05983e+00  2.42006e-01
2.82706e+05  1.06044e+00  2.19147e-01
2.82546e+05  1.06104e+00  1.97881e-01
2.82384e+05  1.06165e+00  1.78065e-01
2.82224e+05  1.06225e+00  1.60762e-01
