WISE3
frq          wvl          transmission
[GHz]        [micron]                 
4.16378e+04  7.20000e+00  2.80620e-05
4.15801e+04  7.21000e+00  1.72020e-03
4.15225e+04  7.22000e+00  1.69530e-03
4.14651e+04  7.23000e+00  2.12020e-03
4.14078e+04  7.24000e+00  2.23050e-03
4.13507e+04  7.25000e+00  2.05570e-03
4.12937e+04  7.26000e+00  2.16010e-03
4.12369e+04  7.27000e+00  1.91770e-03
4.11803e+04  7.28000e+00  1.15530e-03
4.11238e+04  7.29000e+00  1.64450e-03
4.10675e+04  7.30000e+00  2.68890e-03
4.10113e+04  7.31000e+00  3.37140e-03
4.09553e+04  7.32000e+00  3.59180e-03
4.08994e+04  7.33000e+00  3.52190e-03
4.08437e+04  7.34000e+00  3.77440e-03
4.07881e+04  7.35000e+00  3.68400e-03
4.07327e+04  7.36000e+00  3.33510e-03
4.06774e+04  7.37000e+00  3.33360e-03
4.06223e+04  7.38000e+00  3.17280e-03
4.05673e+04  7.39000e+00  3.37910e-03
4.05125e+04  7.40000e+00  3.66030e-03
4.04578e+04  7.41000e+00  4.27890e-03
4.04033e+04  7.42000e+00  5.43070e-03
4.03489e+04  7.43000e+00  7.11410e-03
4.02947e+04  7.44000e+00  9.25160e-03
4.02406e+04  7.45000e+00  1.17100e-02
4.01867e+04  7.46000e+00  1.44210e-02
4.01329e+04  7.47000e+00  1.74290e-02
4.00792e+04  7.48000e+00  2.12330e-02
4.00257e+04  7.49000e+00  2.62070e-02
3.99723e+04  7.50000e+00  3.32570e-02
3.99191e+04  7.51000e+00  4.31320e-02
3.98660e+04  7.52000e+00  5.69460e-02
3.98131e+04  7.53000e+00  7.56820e-02
3.97603e+04  7.54000e+00  1.00100e-01
3.97076e+04  7.55000e+00  1.29790e-01
3.96551e+04  7.56000e+00  1.64320e-01
3.96027e+04  7.57000e+00  2.00060e-01
3.95505e+04  7.58000e+00  2.31020e-01
3.94983e+04  7.59000e+00  2.54820e-01
3.94464e+04  7.60000e+00  2.68930e-01
3.93945e+04  7.61000e+00  2.73040e-01
3.93428e+04  7.62000e+00  2.68500e-01
3.92913e+04  7.63000e+00  2.58810e-01
3.92399e+04  7.64000e+00  2.46570e-01
3.91886e+04  7.65000e+00  2.35550e-01
3.91374e+04  7.66000e+00  2.25770e-01
3.90864e+04  7.67000e+00  2.18490e-01
3.90355e+04  7.68000e+00  2.12450e-01
3.89847e+04  7.69000e+00  2.08930e-01
3.89341e+04  7.70000e+00  2.07930e-01
3.88836e+04  7.71000e+00  2.08200e-01
3.88332e+04  7.72000e+00  2.08470e-01
3.87830e+04  7.73000e+00  2.10010e-01
3.87329e+04  7.74000e+00  2.11560e-01
3.86829e+04  7.75000e+00  2.11830e-01
3.86330e+04  7.76000e+00  2.13380e-01
3.85833e+04  7.77000e+00  2.14940e-01
3.85337e+04  7.78000e+00  2.17780e-01
3.84843e+04  7.79000e+00  2.21900e-01
3.84349e+04  7.80000e+00  2.26040e-01
3.83857e+04  7.81000e+00  2.30190e-01
3.83366e+04  7.82000e+00  2.34350e-01
3.82877e+04  7.83000e+00  2.38520e-01
3.82388e+04  7.84000e+00  2.42690e-01
3.81901e+04  7.85000e+00  2.45590e-01
3.81415e+04  7.86000e+00  2.48490e-01
3.80931e+04  7.87000e+00  2.50100e-01
3.80447e+04  7.88000e+00  2.51720e-01
3.79965e+04  7.89000e+00  2.53330e-01
3.79484e+04  7.90000e+00  2.56260e-01
3.79004e+04  7.91000e+00  2.57880e-01
3.78526e+04  7.92000e+00  2.60820e-01
3.78048e+04  7.93000e+00  2.66370e-01
3.77572e+04  7.94000e+00  2.70630e-01
3.77097e+04  7.95000e+00  2.76210e-01
3.76624e+04  7.96000e+00  2.83110e-01
3.76151e+04  7.97000e+00  2.91340e-01
3.75680e+04  7.98000e+00  2.99590e-01
3.75210e+04  7.99000e+00  3.06540e-01
3.74741e+04  8.00000e+00  3.12190e-01
3.74273e+04  8.01000e+00  3.16540e-01
3.73806e+04  8.02000e+00  3.20900e-01
3.73341e+04  8.03000e+00  3.23940e-01
3.72876e+04  8.04000e+00  3.26990e-01
3.72413e+04  8.05000e+00  3.28720e-01
3.71951e+04  8.06000e+00  3.29130e-01
3.71490e+04  8.07000e+00  3.30870e-01
3.71030e+04  8.08000e+00  3.31280e-01
3.70572e+04  8.09000e+00  3.34350e-01
