ID,ID_ALT,IO,YEAR,TYPE,LINE,Z_OPT,ERR_Z_OPT,Z_LINE,ERR_Z_LINE,FWHM,ERR_FWHM,IDV,ERR_IDV,MAG,ERR_MAG,REF,COMMENTS,LIR,ERR_LIR,MSTAR,REF_URL,NED_URL
,,,,,,,,,,km/s,km/s,Jy km/s,Jy km/s,,,,,L⊙ ,L⊙ ,M⊙ ,,
HS1700.DRG55,,1,2015,DRG,12CO(3-2),2.3,-999,2.296,-999,680,141,1.140,0.31,1,-999,Chapman et al. (2015a),,2.1E+12,-999,1E+11,https://arxiv.org/pdf/1501.02839v2.pdf,Nan
HS1700.850.1,,1,2015,SMG,12CO(3-2),-999,-999,2.816,-999,585,14,2.320,0.21,1,-999,Chapman et al. (2015b),,3.8E+13,-999,3E+11,https://arxiv.org/pdf/1503.02195v2.pdf,Nan
HS1700.850.1,,1,2015,SMG,12CO(5-4),-999,-999,2.816,-999,530,28,3.440,0.3,1,-999,Chapman et al. (2015b),,3.8E+13,-999,3E+11,https://arxiv.org/pdf/1503.02195v2.pdf,Nan
spARCS1049+56,,1,2017,BCG,12CO(2-1),-999,-999,1.7091,0.0004,569,63,3.590,0.34,1,-999,Webb et al. (2017),LMT/RSR,,,,https://arxiv.org/pdf/1706.01366.pdf,Nan
MIPS429,SST24 J171611.81+591213.3,1,2010,MIPS,12CO(3-2),2.213,-999,2.201,-999,565,80,1.000,0.17,1,-999,Yan et al. (2010),SELECTION=MIPS-24um,5.2E+12,-999,,https://arxiv.org/pdf/1003.2369v1.pdf,https://ned.ipac.caltech.edu/byname?objname=SSTXFLS%20J171611.8%2B591213&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1
MIPS506,SST24 J171138.59+583836.7,1,2010,MIPS,12CO(3-2),2.47,-999,2.4704,-999,300,80,0.520,0.11,1,-999,Yan et al. (2010),SELECTION=MIPS-24um,8.5E+12,-999,,https://arxiv.org/pdf/1003.2369v1.pdf,https://ned.ipac.caltech.edu/byname?objname=SSTXFLS%20J171138.5%2B583836&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1
MIPS8196,SST24 J171510.28+600955.2,1,2010,MIPS,12CO(3-2),2.586,-999,-999,-999,-999,-999,0.500,99,1,-999,Yan et al. (2010),SELECTION=MIPS-24um,9.8E+12,-999,,https://arxiv.org/pdf/1003.2369v1.pdf,https://ned.ipac.caltech.edu/byname?objname=SSTXFLS%20J171510.2%2B600955&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1
MIPS8327,SST24 J171535.78+602825.5,1,2010,MIPS,12CO(3-2),2.441,-999,2.4421,-999,253,50,0.420,0.07,1,-999,Yan et al. (2010),SELECTION=MIPS-24um,6.8E+12,-999,,https://arxiv.org/pdf/1003.2369v1.pdf,https://ned.ipac.caltech.edu/byname?objname=SSTXFLS%20J171535.7%2B602825&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1
MIPS8342,SST24 J171411.55+601109.3,1,2010,MIPS,12CO(2-1),1.562,-999,1.5619,-999,325,70,0.650,0.07,1,-999,Yan et al. (2010),SELECTION=MIPS-24um,3.5E+12,-999,,https://arxiv.org/pdf/1003.2369v1.pdf,https://ned.ipac.caltech.edu/byname?objname=SSTXFLS%20J171411.5%2B601109&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1
MIPS15949,SST24 J172109.22+601501.3,1,2010,MIPS,12CO(3-2),2.122,-999,2.1194,-999,500,117,1.070,0.11,1,-999,Yan et al. (2010),SELECTION=MIPS-24um,7.9E+12,-999,,https://arxiv.org/pdf/1003.2369v1.pdf,https://ned.ipac.caltech.edu/byname?objname=SSTXFLS%20J172109.1%2B601501&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1
