ID,Type,Transition,z,error z,FWHM,error FWHM,SdV,error SdV,Luminosity not selected,error luminosity not selected,u,error u,reference,reference link,NED link,,,,,,
HS1700.DRG55,DRG,12CO(3-2),2.296,-999.0,680.0,141.0,1.14,0.31,0.0,0.0,1.0,1,Chapman et al. (2015a),https://arxiv.org/pdf/1501.02839v2.pdf,Nan,0.0,0.0,0.0,0.0,0.0,0.0
HS1700.850.1,SMG,12CO(3-2),2.816,-999.0,585.0,14.0,2.32,0.21,0.0,0.0,1.0,1,Chapman et al. (2015b),https://arxiv.org/pdf/1503.02195v2.pdf,Nan,0.0,0.0,0.0,0.0,0.0,0.0
HS1700.850.1,SMG,12CO(5-4),2.816,-999.0,530.0,28.0,3.44,0.3,0.0,0.0,1.0,1,Chapman et al. (2015b),https://arxiv.org/pdf/1503.02195v2.pdf,Nan,0.0,0.0,0.0,0.0,0.0,0.0
spARCS1049+56,BCG,12CO(2-1),1.7091,0.0004,569.0,63.0,3.59,0.34,0.0,0.0,1.0,1,Webb et al. (2017),https://arxiv.org/pdf/1706.01366.pdf,Nan,0.0,0.0,0.0,0.0,0.0,0.0
MIPS429,MIPS,12CO(3-2),2.201,-999.0,565.0,80.0,1.0,0.17,0.0,0.0,1.0,1,Yan et al. (2010),https://arxiv.org/pdf/1003.2369v1.pdf,https://ned.ipac.caltech.edu/byname?objname=SSTXFLS%20J171611.8%2B591213&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1,0.0,0.0,0.0,0.0,0.0,0.0
MIPS506,MIPS,12CO(3-2),2.4704,-999.0,300.0,80.0,0.52,0.11,0.0,0.0,1.0,1,Yan et al. (2010),https://arxiv.org/pdf/1003.2369v1.pdf,https://ned.ipac.caltech.edu/byname?objname=SSTXFLS%20J171138.5%2B583836&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1,0.0,0.0,0.0,0.0,0.0,0.0
MIPS8196,MIPS,12CO(3-2),2.586,-999.0,-999.0,-999.0,0.5,99.0,0.0,0.0,1.0,1,Yan et al. (2010),https://arxiv.org/pdf/1003.2369v1.pdf,https://ned.ipac.caltech.edu/byname?objname=SSTXFLS%20J171510.2%2B600955&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1,0.0,0.0,0.0,0.0,0.0,0.0
MIPS8327,MIPS,12CO(3-2),2.4421,-999.0,253.0,50.0,0.42,0.07,0.0,0.0,1.0,1,Yan et al. (2010),https://arxiv.org/pdf/1003.2369v1.pdf,https://ned.ipac.caltech.edu/byname?objname=SSTXFLS%20J171535.7%2B602825&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1,0.0,0.0,0.0,0.0,0.0,0.0
MIPS8342,MIPS,12CO(2-1),1.5619,-999.0,325.0,70.0,0.65,0.07,0.0,0.0,1.0,1,Yan et al. (2010),https://arxiv.org/pdf/1003.2369v1.pdf,https://ned.ipac.caltech.edu/byname?objname=SSTXFLS%20J171411.5%2B601109&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1,0.0,0.0,0.0,0.0,0.0,0.0
MIPS15949,MIPS,12CO(3-2),2.1194,-999.0,500.0,117.0,1.07,0.11,0.0,0.0,1.0,1,Yan et al. (2010),https://arxiv.org/pdf/1003.2369v1.pdf,https://ned.ipac.caltech.edu/byname?objname=SSTXFLS%20J172109.1%2B601501&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1,0.0,0.0,0.0,0.0,0.0,0.0
MIPS16059,MIPS,12CO(3-2),2.3256,-999.0,471.0,54.0,0.56,0.11,0.0,0.0,1.0,1,Yan et al. (2010),https://arxiv.org/pdf/1003.2369v1.pdf,https://ned.ipac.caltech.edu/byname?objname=SSTXFLS%20J172428.4%2B601533&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1,0.0,0.0,0.0,0.0,0.0,0.0
